,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.9,0.76,0.82,0.81,0.83,0.8,0.63,0.78,0.75,0.85
Links,0.31,,,,0.43,,0.47,0.37,0.41,0.34
Image,0.27,0.25,0.36,0.22,0.12,0.37,0.25,0.12,0.22,0.12
List,0.25,0.12,0.12,0.21,0.25,0.12,0.13,0.24,0.21,0.08
Inline,0.09,0.08,0.05,0.06,0.1,0.04,0.05,0.15,0.07,0.13
Code,0.03,0.03,0.02,0.04,0.02,0.06,0.04,0.05,0.07,0.16
Video,0.02,0.01,0.0,0.02,0.01,0.01,0.03,0.01,0.0,0.11
Project,0.01,0.02,0.08,0.03,0.06,0.05,0.03,0.03,0.01,0.03
Table,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Animation,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.02,0.01,0.03
Github,,0.47,0.34,0.41,,0.35,,,,
