repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits
0,tensorflow/tensorflow,3720.0,0.0,2.0,0.0,126316.0,2334.0,31882.0,34216.0,332.0,20188.0,20520.0,1.0,247.0
1,bitcoin/bitcoin,1075.0,0.0,2.0,0.0,32903.0,607.0,6159.0,6766.0,418.0,16516.0,16934.0,1.0,67.0
2,apple/swift,1295.0,0.0,2.0,0.0,132944.0,0.0,0.0,0.0,496.0,41084.0,41580.0,0.0,230.0
3,pytorch/pytorch,3086.0,2499.0,30.0,3.0,44377.0,7715.0,17139.0,24854.0,3640.0,45325.0,48965.0,15.0,203.0
4,protocolbuffers/protobuf,974.0,555315.0,30.0,781.0,9148.0,921.0,3954.0,4875.0,35.0,4548.0,4583.0,0.0,37.0
5,godotengine/godot,1874.0,1276.0,30.0,347.0,41949.0,5932.0,26451.0,32383.0,1341.0,23744.0,25085.0,4.0,40.0
6,tesseract-ocr/tesseract,200.0,0.0,2.0,0.0,5954.0,349.0,1933.0,2282.0,9.0,1440.0,1449.0,1.0,76.0
7,x64dbg/x64dbg,120.0,4403.0,3.0,5.0,4824.0,485.0,1619.0,2104.0,15.0,670.0,685.0,2.0,55.0
8,ocornut/imgui,315.0,0.0,2.0,0.0,6841.0,604.0,3245.0,3849.0,113.0,786.0,899.0,56.0,0.0
9,grpc/grpc,883.0,11308.0,30.0,24.0,50586.0,816.0,9243.0,10059.0,252.0,18491.0,18743.0,0.0,74.0
10,BVLC/caffe,328.0,0.0,2.0,0.0,4156.0,888.0,3882.0,4770.0,287.0,1936.0,2223.0,0.0,35.0
11,ariya/phantomjs,180.0,0.0,2.0,0.0,1958.0,15.0,4721.0,4736.0,0.0,1051.0,1051.0,11.0,55.0
12,nlohmann/json,256.0,2431186.0,30.0,110.0,4326.0,29.0,1937.0,1966.0,21.0,703.0,724.0,5.0,565.0
13,google/leveldb,71.0,0.0,2.0,0.0,415.0,150.0,511.0,661.0,58.0,251.0,309.0,9.0,22.0
14,rethinkdb/rethinkdb,260.0,0.0,2.0,0.0,33438.0,1399.0,4950.0,6349.0,19.0,616.0,635.0,0.0,59.0
15,aria2/aria2,65.0,222578.0,23.0,174.0,5290.0,854.0,734.0,1588.0,40.0,248.0,288.0,0.0,57.0
