repo_id,repository,fullname,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits
90,upx/upx,upx/upx,1,0,1,20,729580,7,85,3551,126,364,490,0,43
107,rigglemania/pysqlcipher3,rigglemania/pysqlcipher3,1,0,1,5,0,0,0,33,8,10,18,0,10
108,juce/sockproc,juce/sockproc,1,0,1,6,0,0,0,43,1,7,8,0,11
124,MerlijnWajer/tracy,MerlijnWajer/tracy,1,0,1,10,0,0,0,596,12,33,45,0,10
129,PinkP4nther/Sutekh,PinkP4nther/Sutekh,0,1,1,1,0,0,0,21,0,0,0,0,12
131,InfiniteSearchSpace/PyCl-Convergence,InfiniteSearchSpace/PyCl-Convergence,1,0,1,1,0,0,0,51,0,0,0,0,16
139,drotiro/boxfs2,drotiro/boxfs2,1,0,1,10,0,0,0,112,1,17,18,0,6
151,TrilbyWhite/Leela,TrilbyWhite/Leela,0,1,1,3,0,0,0,20,1,1,2,0,3
158,wrtnode-sdk/openwrt,wrtnode-sdk/openwrt,1,0,1,11,0,0,0,265,0,0,0,0,1
161,dji-sdk/Manifold-Cam,dji-sdk/Manifold-Cam,1,0,1,5,0,0,0,11,10,7,17,0,7
164,nickgammon/MAX7219_Dot_Matrix,nickgammon/MAX7219_Dot_Matrix,0,1,1,2,0,0,0,10,2,4,6,0,3
189,kolasa/fglrx-core-15.201,kolasa/fglrx-core-15.201,0,1,1,1,0,0,0,7,2,3,5,0,1
191,starwing/lua-miniz,starwing/lua-miniz,0,1,1,2,0,0,0,13,0,1,1,0,3
125,ieatlint/mslib,ieatlint/mslib,2,0,2,1,0,0,0,17,2,0,2,0,3
130,nicolasgramlich/AndEngineMODPlayerExtension,nicolasgramlich/AndEngineMODPlayerExtension,1,1,2,3,0,0,0,20,0,0,0,0,0
182,markvanderloo/gower,markvanderloo/gower,0,2,2,3,0,0,0,96,5,11,16,1,11
185,cesanta/polar,cesanta/polar,0,2,2,3,0,0,0,5,1,0,1,0,2
