repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits
0,CyC2018/CS-Notes,245.0,0.0,0.0,0.0,3776.0,103.0,436.0,539.0,53.0,523.0,576.0,0.0,658.0
1,Snailclimb/JavaGuide,362.0,0.0,0.0,0.0,3927.0,66.0,686.0,752.0,2.0,838.0,840.0,1.0,885.0
2,iluwatar/java-design-patterns,327.0,0.0,0.0,0.0,3202.0,220.0,474.0,694.0,47.0,1196.0,1243.0,16.0,503.0
3,MisterBooo/LeetCodeAnimation,21.0,0.0,0.0,0.0,246.0,12.0,42.0,54.0,0.0,73.0,73.0,0.0,72.0
4,doocs/advanced-java,36.0,0.0,1.0,0.0,619.0,3.0,123.0,126.0,0.0,100.0,100.0,8.0,179.0
5,spring-projects/spring-boot,1123.0,0.0,30.0,0.0,36637.0,543.0,24193.0,24736.0,29.0,5088.0,5117.0,17.0,96.0
6,elastic/elasticsearch,1906.0,0.0,30.0,0.0,63291.0,3361.0,25971.0,29332.0,457.0,54775.0,55232.0,0.0,9.0
7,kdn251/interviews,43.0,0.0,0.0,0.0,445.0,29.0,18.0,47.0,73.0,74.0,147.0,0.0,99.0
8,macrozheng/mall,2.0,0.0,1.0,0.0,771.0,21.0,396.0,417.0,4.0,84.0,88.0,0.0,162.0
9,ReactiveX/RxJava,328.0,0.0,30.0,0.0,5967.0,10.0,3069.0,3079.0,1.0,3672.0,3673.0,1.0,107.0
10,google/guava,426.0,1250.0,30.0,4.0,5763.0,646.0,2688.0,3334.0,94.0,1184.0,1278.0,2.0,82.0
11,TheAlgorithms/Java,391.0,0.0,0.0,0.0,1568.0,7.0,605.0,612.0,14.0,2279.0,2293.0,2.0,52.0
12,airbnb/lottie-android,122.0,911.0,30.0,5.0,1415.0,15.0,1387.0,1402.0,1.0,604.0,605.0,6.0,116.0
13,Blankj/AndroidUtilCode,46.0,3647.0,30.0,30.0,1404.0,155.0,1248.0,1403.0,4.0,187.0,191.0,0.0,286.0
14,NationalSecurityAgency/ghidra,204.0,276469.0,19.0,19.0,6415.0,1129.0,1867.0,2996.0,172.0,614.0,786.0,1.0,25.0
15,geekxh/hello-algorithm,15.0,0.0,0.0,0.0,393.0,4.0,32.0,36.0,0.0,29.0,29.0,0.0,138.0
16,zxing/zxing,161.0,446787.0,27.0,17.0,3645.0,6.0,1138.0,1144.0,2.0,321.0,323.0,0.0,47.0
17,eugenp/tutorials,1167.0,0.0,0.0,0.0,24032.0,32.0,533.0,565.0,35.0,11102.0,11137.0,0.0,44.0
18,netty/netty,705.0,0.0,0.0,0.0,10754.0,464.0,5280.0,5744.0,19.0,6255.0,6274.0,3.0,25.0
19,skylot/jadx,86.0,597741.0,18.0,36.0,1683.0,203.0,828.0,1031.0,1.0,360.0,361.0,20.0,70.0
20,alibaba/arthas,168.0,16743.0,30.0,145.0,1716.0,172.0,1292.0,1464.0,46.0,562.0,608.0,3.0,142.0
21,ityouknow/spring-boot-examples,8.0,0.0,0.0,0.0,173.0,8.0,97.0,105.0,3.0,40.0,43.0,0.0,110.0
22,crossoverJie/JCSprout,30.0,0.0,0.0,0.0,709.0,30.0,59.0,89.0,10.0,99.0,109.0,2.0,168.0
23,apolloconfig/apollo,139.0,74023.0,30.0,113.0,2657.0,115.0,2611.0,2726.0,6.0,1354.0,1360.0,0.0,262.0
24,JakeWharton/butterknife,114.0,0.0,0.0,0.0,1016.0,95.0,1074.0,1169.0,18.0,471.0,489.0,1.0,73.0
25,proxyee-down-org/proxyee-down,14.0,1058299.0,30.0,59.0,474.0,0.0,0.0,0.0,1.0,31.0,32.0,0.0,82.0
26,alibaba/druid,222.0,0.0,30.0,0.0,6513.0,2156.0,1323.0,3479.0,146.0,1046.0,1192.0,0.0,8.0
27,xkcoding/spring-boot-demo,12.0,0.0,0.0,0.0,733.0,68.0,71.0,139.0,25.0,42.0,67.0,0.0,133.0
28,alibaba/fastjson,217.0,0.0,30.0,0.0,3939.0,1661.0,1571.0,3232.0,135.0,648.0,783.0,0.0,96.0
29,greenrobot/EventBus,31.0,697.0,7.0,2.0,549.0,104.0,457.0,561.0,40.0,85.0,125.0,0.0,102.0
30,dbeaver/dbeaver,256.0,4859.0,30.0,286.0,22261.0,1446.0,10763.0,12209.0,11.0,2648.0,2659.0,6.0,96.0
31,scwang90/SmartRefreshLayout,8.0,0.0,10.0,0.0,1092.0,220.0,1191.0,1411.0,3.0,20.0,23.0,0.0,298.0
32,qiurunze123/miaosha,12.0,0.0,0.0,0.0,225.0,29.0,38.0,67.0,0.0,58.0,58.0,0.0,115.0
33,lenve/vhr,2.0,0.0,0.0,0.0,157.0,146.0,91.0,237.0,40.0,20.0,60.0,0.0,71.0
34,CymChad/BaseRecyclerViewAdapterHelper,54.0,0.0,30.0,0.0,1210.0,443.0,2879.0,3322.0,15.0,260.0,275.0,0.0,39.0
35,SeleniumHQ/selenium,783.0,54474.0,30.0,209.0,27984.0,101.0,7856.0,7957.0,10.0,2349.0,2359.0,3.0,92.0
