repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits
0,freeCodeCamp/freeCodeCamp,4770.0,0.0,0.0,0.0,30025.0,126.0,15709.0,15835.0,23.0,28561.0,28584.0,2.0,458.0
1,facebook/react,1786.0,2259.0,30.0,98.0,14807.0,728.0,10463.0,11191.0,252.0,11638.0,11890.0,0.0,129.0
2,twbs/bootstrap,1531.0,12121231.0,30.0,49.0,21532.0,314.0,20790.0,21104.0,118.0,13129.0,13247.0,1.0,438.0
3,trekhleb/javascript-algorithms,196.0,0.0,0.0,0.0,1030.0,97.0,185.0,282.0,139.0,416.0,555.0,0.0,312.0
4,d3/d3,136.0,135818.0,30.0,20.0,4322.0,3.0,2100.0,2103.0,0.0,1103.0,1103.0,2.0,192.0
5,facebook/create-react-app,929.0,0.0,30.0,0.0,2753.0,1213.0,6344.0,7557.0,302.0,3577.0,3879.0,0.0,188.0
6,axios/axios,335.0,0.0,30.0,0.0,1095.0,225.0,3274.0,3499.0,85.0,895.0,980.0,13.0,205.0
7,mui-org/material-ui,2698.0,0.0,30.0,0.0,19183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0
8,awesome-selfhosted/awesome-selfhosted,1095.0,0.0,0.0,0.0,4863.0,106.0,557.0,663.0,57.0,2103.0,2160.0,7.0,4226.0
9,FortAwesome/Font-Awesome,2.0,71795.0,30.0,60.0,3.0,5652.0,12382.0,18034.0,26.0,604.0,630.0,0.0,2.0
10,yangshun/tech-interview-handbook,110.0,0.0,0.0,0.0,506.0,8.0,38.0,46.0,0.0,214.0,214.0,0.0,63.0
11,ryanmcdermott/clean-code-javascript,117.0,0.0,0.0,0.0,540.0,40.0,78.0,118.0,14.0,233.0,247.0,0.0,456.0
12,webpack/webpack,825.0,0.0,30.0,0.0,15010.0,177.0,8706.0,8883.0,107.0,5490.0,5597.0,1.0,260.0
13,angular/angular.js,1855.0,0.0,0.0,0.0,9069.0,391.0,8645.0,9036.0,78.0,7875.0,7953.0,7.0,38.0
14,typicode/json-server,77.0,0.0,10.0,0.0,848.0,538.0,445.0,983.0,72.0,232.0,304.0,0.0,254.0
15,hakimel/reveal.js,333.0,0.0,30.0,0.0,2877.0,604.0,1491.0,2095.0,87.0,859.0,946.0,1.0,594.0
16,jquery/jquery,359.0,0.0,2.0,0.0,6561.0,70.0,2094.0,2164.0,11.0,2710.0,2721.0,11.0,105.0
17,expressjs/express,307.0,0.0,30.0,0.0,5688.0,110.0,3564.0,3674.0,46.0,1014.0,1060.0,6.0,254.0
18,adam-p/markdown-here,12.0,1518.0,11.0,6.0,807.0,282.0,307.0,589.0,27.0,48.0,75.0,1.0,120.0
19,h5bp/html5-boilerplate,310.0,2137945.0,30.0,15.0,2288.0,9.0,1243.0,1252.0,3.0,1376.0,1379.0,9.0,74.0
20,gatsbyjs/gatsby,4160.0,0.0,30.0,0.0,19923.0,129.0,13182.0,13311.0,201.0,19496.0,19697.0,10.0,416.0
21,tailwindlabs/tailwindcss,225.0,6290.0,30.0,100.0,4548.0,9.0,2169.0,2178.0,14.0,1672.0,1686.0,0.0,24.0
22,scutan90/DeepLearning-500-questions,124.0,0.0,0.0,0.0,1275.0,97.0,80.0,177.0,2.0,333.0,335.0,0.0,203.0
23,leonardomso/33-js-concepts,103.0,0.0,0.0,0.0,539.0,7.0,32.0,39.0,5.0,165.0,170.0,1.0,435.0
24,iptv-org/iptv,177.0,0.0,0.0,0.0,19256.0,336.0,1845.0,2181.0,6.0,4049.0,4055.0,0.0,977.0
25,meteor/meteor,818.0,0.0,0.0,0.0,31974.0,111.0,8587.0,8698.0,5.0,3082.0,3087.0,2.0,86.0
26,NARKOZ/hacker-scripts,58.0,0.0,0.0,0.0,148.0,34.0,37.0,71.0,30.0,109.0,139.0,0.0,14.0
27,serverless/serverless,1125.0,64152.0,30.0,90.0,15183.0,850.0,4705.0,5555.0,31.0,4847.0,4878.0,0.0,542.0
28,yarnpkg/yarn,544.0,36364.0,30.0,253.0,2351.0,1806.0,4533.0,6339.0,157.0,2110.0,2267.0,7.0,74.0
29,ColorlibHQ/AdminLTE,127.0,0.0,30.0,0.0,2462.0,38.0,2603.0,2641.0,18.0,1523.0,1541.0,0.0,94.0
30,parcel-bundler/parcel,358.0,0.0,14.0,0.0,2636.0,687.0,3758.0,4445.0,72.0,2393.0,2465.0,3.0,37.0
31,TryGhost/Ghost,475.0,5603.0,30.0,30.0,15651.0,30.0,6255.0,6285.0,23.0,7878.0,7901.0,11.0,132.0
32,nuxt/nuxt.js,346.0,0.0,30.0,0.0,5559.0,473.0,6158.0,6631.0,37.0,2869.0,2906.0,0.0,153.0
33,mermaid-js/mermaid,342.0,0.0,30.0,0.0,4395.0,603.0,1111.0,1714.0,7.0,1075.0,1082.0,0.0,163.0
34,nwjs/nw.js,128.0,0.0,0.0,0.0,4647.0,878.0,6131.0,7009.0,12.0,782.0,794.0,0.0,375.0
35,mozilla/pdf.js,436.0,1253069.0,30.0,40.0,15413.0,335.0,7773.0,8108.0,18.0,6454.0,6472.0,2.0,120.0
36,Unitech/pm2,311.0,0.0,30.0,0.0,4970.0,547.0,3943.0,4490.0,18.0,801.0,819.0,0.0,481.0
37,algorithm-visualizer/algorithm-visualizer,28.0,0.0,0.0,0.0,664.0,19.0,65.0,84.0,17.0,216.0,233.0,1.0,25.0
38,GitSquared/edex-ui,69.0,33734.0,29.0,129.0,1428.0,6.0,553.0,559.0,0.0,475.0,475.0,5.0,105.0
39,Marak/faker.js,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,hexojs/hexo,197.0,0.0,30.0,0.0,3517.0,73.0,3696.0,3769.0,5.0,1041.0,1046.0,1.0,51.0
41,sahat/hackathon-starter,202.0,0.0,13.0,0.0,2541.0,24.0,583.0,607.0,30.0,530.0,560.0,0.0,560.0
42,gulpjs/gulp,263.0,0.0,22.0,0.0,1197.0,26.0,1836.0,1862.0,3.0,645.0,648.0,5.0,140.0
43,videojs/video.js,495.0,14002.0,30.0,30.0,3798.0,393.0,4307.0,4700.0,15.0,2804.0,2819.0,2.0,59.0
44,koajs/koa,228.0,0.0,0.0,0.0,1150.0,33.0,826.0,859.0,29.0,719.0,748.0,3.0,107.0
45,microsoft/playwright,213.0,0.0,30.0,0.0,7197.0,410.0,4173.0,4583.0,22.0,7595.0,7617.0,6.0,217.0
46,lerna/lerna,282.0,0.0,30.0,0.0,2218.0,703.0,1488.0,2191.0,70.0,815.0,885.0,13.0,201.0
47,photonstorm/phaser,601.0,26144.0,30.0,99.0,17143.0,141.0,3705.0,3846.0,7.0,2092.0,2099.0,0.0,1706.0
48,jondot/awesome-react-native,631.0,0.0,0.0,0.0,2193.0,30.0,34.0,64.0,24.0,991.0,1015.0,0.0,1812.0
49,preactjs/preact,324.0,33.0,30.0,1.0,4993.0,145.0,1334.0,1479.0,83.0,1776.0,1859.0,2.0,133.0
50,carbon-app/carbon,183.0,0.0,30.0,0.0,1764.0,17.0,566.0,583.0,1.0,733.0,734.0,7.0,236.0
51,SheetJS/sheetjs,184.0,0.0,0.0,0.0,674.0,105.0,2114.0,2219.0,10.0,275.0,285.0,53.0,189.0
