repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits
0,laravel/laravel,743.0,0.0,30.0,0.0,6692.0,0.0,0.0,0.0,0.0,4092.0,4092.0,0.0,23.0
1,danielmiessler/SecLists,226.0,0.0,15.0,0.0,1297.0,21.0,156.0,177.0,5.0,514.0,519.0,5.0,87.0
2,blueimp/jQuery-File-Upload,113.0,0.0,0.0,0.0,1265.0,49.0,3258.0,3307.0,0.0,371.0,371.0,3.0,86.0
3,fzaninotto/Faker,529.0,0.0,12.0,0.0,2632.0,76.0,494.0,570.0,167.0,1319.0,1486.0,1.0,368.0
4,symfony/symfony,3416.0,0.0,30.0,0.0,59755.0,529.0,16601.0,17130.0,210.0,27108.0,27318.0,2.0,51.0
5,composer/composer,1124.0,461010.0,30.0,56.0,11380.0,167.0,6787.0,6954.0,20.0,3379.0,3399.0,7.0,69.0
6,laravel/framework,3382.0,0.0,30.0,0.0,33231.0,5.0,15793.0,15798.0,7.0,23038.0,23045.0,0.0,18.0
7,guzzle/guzzle,413.0,4022.0,30.0,34.0,3595.0,23.0,1712.0,1735.0,15.0,1227.0,1242.0,5.0,105.0
8,DesignPatternsPHP/DesignPatternsPHP,207.0,0.0,0.0,0.0,1247.0,2.0,107.0,109.0,0.0,345.0,345.0,2.0,85.0
9,Seldaek/monolog,488.0,0.0,30.0,0.0,2536.0,27.0,674.0,701.0,15.0,919.0,934.0,1.0,30.0
10,bcit-ci/CodeIgniter,607.0,0.0,0.0,0.0,10323.0,9.0,3197.0,3206.0,3.0,2827.0,2830.0,1.0,27.0
11,sebastianbergmann/phpunit,508.0,0.0,0.0,0.0,16314.0,143.0,2931.0,3074.0,30.0,1698.0,1728.0,4.0,126.0
12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0
13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0
14,WordPress/WordPress,107.0,0.0,0.0,0.0,45210.0,0.0,0.0,0.0,0.0,555.0,555.0,0.0,121.0
15,matomo-org/matomo,379.0,6.0,30.0,16.0,28254.0,1892.0,10215.0,12107.0,27.0,6056.0,6083.0,9.0,120.0
16,briannesbitt/Carbon,301.0,1434.0,30.0,30.0,3156.0,9.0,1098.0,1107.0,3.0,1441.0,1444.0,0.0,91.0
17,monicahq/monica,260.0,503.0,30.0,169.0,3604.0,498.0,1223.0,1721.0,4.0,4271.0,4275.0,0.0,9.0
18,nikic/PHP-Parser,129.0,0.0,30.0,0.0,1395.0,67.0,442.0,509.0,13.0,303.0,316.0,0.0,71.0
19,easychen/howto-make-more-money,13.0,0.0,3.0,0.0,69.0,3.0,22.0,25.0,1.0,15.0,16.0,0.0,37.0
20,erusev/parsedown,43.0,0.0,25.0,0.0,843.0,81.0,458.0,539.0,47.0,232.0,279.0,3.0,166.0
21,yiisoft/yii2,1356.0,94532.0,30.0,54.0,19960.0,445.0,10731.0,11176.0,71.0,7612.0,7683.0,8.0,58.0
22,barryvdh/laravel-debugbar,179.0,0.0,30.0,0.0,929.0,44.0,862.0,906.0,25.0,364.0,389.0,3.0,79.0
23,getgrav/grav,231.0,63746.0,30.0,90.0,7314.0,322.0,2484.0,2806.0,24.0,624.0,648.0,2.0,66.0
24,koel/koel,62.0,2802.0,30.0,26.0,2036.0,75.0,742.0,817.0,11.0,578.0,589.0,0.0,38.0
25,filp/whoops,156.0,0.0,0.0,0.0,1169.0,4.0,336.0,340.0,1.0,375.0,376.0,9.0,132.0
26,CachetHQ/Cachet,223.0,0.0,30.0,0.0,7274.0,276.0,2008.0,2284.0,74.0,1921.0,1995.0,4.0,147.0
27,Intervention/image,127.0,0.0,0.0,0.0,741.0,318.0,542.0,860.0,28.0,253.0,281.0,0.0,59.0
28,phacility/phabricator,323.0,0.0,0.0,0.0,16971.0,0.0,0.0,0.0,1.0,278.0,279.0,0.0,6.0
29,thephpleague/flysystem,48.0,0.0,15.0,0.0,648.0,20.0,705.0,725.0,6.0,689.0,695.0,0.0,14.0
30,flarum/flarum,33.0,0.0,17.0,0.0,337.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,9.0
31,barryvdh/laravel-ide-helper,213.0,0.0,30.0,0.0,828.0,94.0,727.0,821.0,41.0,462.0,503.0,4.0,19.0
32,vlucas/phpdotenv,68.0,0.0,30.0,0.0,567.0,4.0,246.0,250.0,0.0,256.0,256.0,1.0,56.0
33,roots/sage,249.0,229.0,30.0,1.0,2455.0,8.0,1275.0,1283.0,5.0,1664.0,1669.0,8.0,185.0
34,PHPOffice/PHPExcel,75.0,0.0,0.0,0.0,1274.0,562.0,430.0,992.0,106.0,328.0,434.0,4.0,14.0
35,ramsey/uuid,101.0,0.0,30.0,0.0,1109.0,21.0,146.0,167.0,5.0,229.0,234.0,1.0,78.0
36,slimphp/Slim,274.0,0.0,30.0,0.0,4278.0,5.0,1602.0,1607.0,0.0,1508.0,1508.0,2.0,69.0
37,the-control-group/voyager,415.0,0.0,30.0,0.0,3083.0,199.0,3149.0,3348.0,92.0,2032.0,2124.0,4.0,68.0
38,octobercms/october,470.0,0.0,3.0,0.0,5756.0,0.0,3319.0,3319.0,0.0,2120.0,2120.0,2.0,57.0
