repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits
0,rails/rails,5701.0,0.0,2.0,0.0,83217.0,355.0,15065.0,15420.0,246.0,28643.0,28889.0,0.0,50.0
1,jekyll/jekyll,1168.0,0.0,2.0,0.0,11464.0,88.0,4434.0,4522.0,93.0,4088.0,4181.0,2.0,72.0
2,discourse/discourse,994.0,0.0,2.0,0.0,44508.0,0.0,0.0,0.0,37.0,15632.0,15669.0,0.0,137.0
3,fastlane/fastlane,1497.0,0.0,2.0,0.0,16282.0,123.0,11837.0,11960.0,65.0,6840.0,6905.0,0.0,476.0
4,huginn/huginn,246.0,0.0,2.0,0.0,3428.0,521.0,1400.0,1921.0,83.0,1082.0,1165.0,2.0,98.0
5,Homebrew/brew,1078.0,0.0,2.0,0.0,30778.0,17.0,3426.0,3443.0,11.0,8803.0,8814.0,1.0,214.0
6,bayandin/awesome-awesomeness,251.0,0.0,2.0,0.0,572.0,12.0,49.0,61.0,6.0,386.0,392.0,0.0,426.0
7,freeCodeCamp/devdocs,184.0,0.0,2.0,0.0,4396.0,97.0,881.0,978.0,24.0,688.0,712.0,4.0,97.0
8,mastodon/mastodon,761.0,0.0,2.0,0.0,11297.0,2003.0,4474.0,6477.0,54.0,10895.0,10949.0,2.0,88.0
9,rapid7/metasploit-framework,1328.0,0.0,2.0,0.0,63533.0,482.0,4525.0,5007.0,31.0,10946.0,10977.0,1.0,23.0
10,hashicorp/vagrant,1235.0,0.0,2.0,0.0,14136.0,564.0,8505.0,9069.0,86.0,3468.0,3554.0,2.0,60.0
11,gitlabhq/gitlabhq,2909.0,0.0,2.0,0.0,107784.0,0.0,0.0,0.0,14.0,3555.0,3569.0,0.0,264.0
12,heartcombo/devise,694.0,0.0,2.0,0.0,3769.0,135.0,3951.0,4086.0,57.0,1282.0,1339.0,1.0,176.0
13,kilimchoi/engineering-blogs,383.0,0.0,2.0,0.0,1705.0,4.0,74.0,78.0,50.0,893.0,943.0,1.0,1182.0
14,Homebrew/homebrew-cask,9214.0,0.0,2.0,0.0,146299.0,23.0,5985.0,6008.0,33.0,114014.0,114047.0,0.0,157.0
15,ruby/ruby,585.0,0.0,2.0,0.0,71315.0,0.0,0.0,0.0,342.0,5217.0,5559.0,0.0,104.0
16,forem/forem,702.0,0.0,2.0,0.0,11108.0,387.0,4047.0,4434.0,30.0,11749.0,11779.0,1.0,148.0
17,CocoaPods/CocoaPods,401.0,0.0,2.0,0.0,9323.0,294.0,8760.0,9054.0,29.0,2024.0,2053.0,2.0,100.0
18,diaspora/diaspora,540.0,0.0,2.0,0.0,20528.0,420.0,4279.0,4699.0,26.0,3387.0,3413.0,0.0,151.0
19,twbs/bootstrap-sass,122.0,0.0,2.0,0.0,1039.0,15.0,816.0,831.0,3.0,346.0,349.0,19.0,217.0
20,elastic/logstash,573.0,0.0,2.0,0.0,10027.0,1783.0,4304.0,6087.0,180.0,7524.0,7704.0,7.0,118.0
21,gollum/gollum,217.0,0.0,2.0,0.0,2360.0,44.0,1093.0,1137.0,8.0,618.0,626.0,9.0,233.0
22,capistrano/capistrano,279.0,0.0,2.0,0.0,1681.0,51.0,1051.0,1102.0,3.0,857.0,860.0,3.0,139.0
23,rubocop/rubocop,907.0,0.0,2.0,0.0,11343.0,213.0,4335.0,4548.0,26.0,5735.0,5761.0,3.0,397.0
24,mame/quine-relay,18.0,0.0,2.0,0.0,458.0,14.0,65.0,79.0,0.0,40.0,40.0,3.0,187.0
25,spree/spree,1171.0,0.0,2.0,0.0,24595.0,174.0,3895.0,4069.0,69.0,7357.0,7426.0,0.0,290.0
26,lewagon/setup,63.0,0.0,2.0,0.0,993.0,5.0,113.0,118.0,1.0,245.0,246.0,0.0,58.0
27,sinatra/sinatra,505.0,0.0,2.0,0.0,4362.0,57.0,733.0,790.0,11.0,928.0,939.0,7.0,143.0
