repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits
0,kamranahmedse/developer-roadmap,102.0,0.0,2.0,0.0,1058.0,98.0,485.0,583.0,24.0,381.0,405.0,0.0,75.0
1,microsoft/vscode,1971.0,0.0,2.0,0.0,94139.0,5524.0,124269.0,129793.0,266.0,11127.0,11393.0,7.0,102.0
2,angular/angular,1743.0,0.0,2.0,0.0,24040.0,1516.0,22152.0,23668.0,84.0,20620.0,20704.0,3.0,75.0
3,microsoft/TypeScript,766.0,1832.0,30.0,30.0,33095.0,5177.0,27856.0,33033.0,279.0,13952.0,14231.0,10.0,66.0
4,ant-design/ant-design,1797.0,0.0,2.0,0.0,21658.0,761.0,22476.0,23237.0,47.0,10281.0,10328.0,2.0,258.0
5,puppeteer/puppeteer,429.0,0.0,2.0,0.0,2478.0,1802.0,3438.0,5240.0,9.0,2748.0,2757.0,2.0,203.0
6,storybookjs/storybook,1719.0,0.0,2.0,0.0,38758.0,1605.0,7166.0,8771.0,109.0,7909.0,8018.0,1.0,276.0
7,reduxjs/redux,930.0,0.0,2.0,0.0,3483.0,40.0,1899.0,1939.0,14.0,2247.0,2261.0,4.0,228.0
8,socketio/socket.io,207.0,0.0,2.0,0.0,1907.0,92.0,3080.0,3172.0,8.0,794.0,802.0,3.0,133.0
9,sveltejs/svelte,537.0,0.0,2.0,0.0,6658.0,568.0,3676.0,4244.0,129.0,2831.0,2960.0,3.0,83.0
10,cdr/code-server,186.0,108299.0,30.0,230.0,3219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,apache/echarts,199.0,0.0,2.0,0.0,8544.0,1994.0,13287.0,15281.0,66.0,1267.0,1333.0,2.0,97.0
12,ionic-team/ionic-framework,489.0,0.0,2.0,0.0,11426.0,598.0,19162.0,19760.0,50.0,4862.0,4912.0,3.0,93.0
13,grafana/grafana,1902.0,0.0,2.0,0.0,33901.0,2031.0,21395.0,23426.0,296.0,21362.0,21658.0,15.0,215.0
14,remix-run/react-router,765.0,0.0,2.0,0.0,5232.0,60.0,6257.0,6317.0,6.0,2221.0,2227.0,2.0,64.0
15,nestjs/nest,355.0,0.0,2.0,0.0,10260.0,50.0,4002.0,4052.0,48.0,4939.0,4987.0,0.0,228.0
16,apache/superset,803.0,575153.0,30.0,21.0,11146.0,911.0,6916.0,7827.0,175.0,10126.0,10301.0,0.0,219.0
17,babel/babel,1110.0,0.0,2.0,0.0,15100.0,637.0,7422.0,8059.0,151.0,5636.0,5787.0,0.0,250.0
18,vercel/hyper,285.0,1269083.0,30.0,444.0,3045.0,746.0,2719.0,3465.0,16.0,2791.0,2807.0,1.0,89.0
19,facebook/jest,1446.0,0.0,2.0,0.0,6020.0,1432.0,5278.0,6710.0,160.0,5589.0,5749.0,4.0,150.0
20,DefinitelyTyped/DefinitelyTyped,17583.0,0.0,2.0,0.0,79703.0,552.0,7099.0,7651.0,215.0,50096.0,50311.0,1.0,549.0
21,styled-components/styled-components,343.0,0.0,2.0,0.0,3302.0,72.0,2439.0,2511.0,6.0,1145.0,1151.0,0.0,193.0
22,pixijs/pixijs,461.0,1515.0,30.0,312.0,5905.0,98.0,4644.0,4742.0,12.0,3043.0,3055.0,3.0,157.0
23,vitejs/vite,523.0,0.0,2.0,0.0,3717.0,688.0,2820.0,3508.0,193.0,2107.0,2300.0,6.0,111.0
24,vuetifyjs/vuetify,753.0,1675.0,30.0,30.0,11682.0,984.0,9589.0,10573.0,46.0,3743.0,3789.0,0.0,140.0
25,immutable-js/immutable-js,217.0,0.0,2.0,0.0,1689.0,92.0,1112.0,1204.0,20.0,666.0,686.0,12.0,145.0
26,ant-design/ant-design-pro,312.0,0.0,2.0,0.0,2368.0,143.0,8030.0,8173.0,1.0,1315.0,1316.0,7.0,82.0
27,nativefier/nativefier,136.0,0.0,2.0,0.0,1146.0,181.0,890.0,1071.0,9.0,283.0,292.0,9.0,114.0
28,formium/formik,429.0,0.0,2.0,0.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0
29,facebook/docusaurus,857.0,0.0,2.0,0.0,4704.0,148.0,1952.0,2100.0,37.0,4241.0,4278.0,1.0,72.0
30,laurent22/joplin,495.0,131267.0,30.0,210.0,7535.0,310.0,4073.0,4383.0,8.0,1815.0,1823.0,0.0,687.0
31,streamich/react-use,191.0,0.0,2.0,0.0,2910.0,257.0,210.0,467.0,201.0,1635.0,1836.0,0.0,236.0
32,typeorm/typeorm,853.0,0.0,2.0,0.0,4929.0,1444.0,5113.0,6557.0,23.0,2145.0,2168.0,5.0,196.0
33,vuejs/vue-next,321.0,0.0,2.0,0.0,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
34,ReactiveX/rxjs,531.0,0.0,2.0,0.0,4982.0,201.0,2799.0,3000.0,35.0,3597.0,3632.0,6.0,119.0
35,postcss/postcss,403.0,0.0,2.0,0.0,3695.0,12.0,846.0,858.0,0.0,825.0,825.0,3.0,775.0
