Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
torvalds/linux,0,0,0,0,0,0,0,0,2,0,2325298,torvalds/linux,https://github.com/torvalds/linux,2011-09-04 22:48:12,C,,122182,40058,122182,324
Genymobile/scrcpy,54,3,0,1,0,1,2,0,63,65,111583593,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21 18:00:27,C,,58323,6082,58323,861
netdata/netdata,37,20,1,0,0,6,41,1,5,2,10744183,netdata/netdata,https://github.com/netdata/netdata,2013-06-17 18:39:10,C,,56950,5120,56950,267
redis/redis,52,0,0,0,0,0,1,0,89,1,156018,redis/redis,https://github.com/redis/redis,2009-03-21 22:32:25,C,,52099,20373,52099,2094
git/git,4,1,0,0,0,1,4,0,4,0,36502,git/git,https://github.com/git/git,2008-07-23 14:21:26,C,,40324,22576,40324,99
obsproject/obs-studio,12,0,0,0,0,0,4,6,3,0,13233158,obsproject/obs-studio,https://github.com/obsproject/obs-studio,2013-10-01 02:40:31,C,,33638,5385,33638,610
php/php-src,4,4,0,0,0,1,17,0,11,0,1903522,php/php-src,https://github.com/php/php-src,2011-06-16 01:52:25,C,,32784,6949,32784,265
wg/wrk,0,0,0,0,0,0,1,0,0,0,3774328,wg/wrk,https://github.com/wg/wrk,2012-03-20 11:12:28,C,,30731,2526,30731,160
bilibili/ijkplayer,67,2,0,3,0,7,21,0,0,9,10446890,bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,2013-06-03 04:12:04,C,,29679,7673,29679,2694
ventoy/Ventoy,28,6,0,0,0,1,31,0,2,0,246335987,ventoy/Ventoy,https://github.com/ventoy/Ventoy,2020-03-10 15:19:19,C,,28939,2157,28939,257
FFmpeg/FFmpeg,11,0,0,0,0,0,5,0,9,0,1614410,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,2011-04-14 14:12:38,C,,27167,8946,27167,3
tmux/tmux,6,0,0,0,0,0,0,0,0,0,36836475,tmux/tmux,https://github.com/tmux/tmux,2015-06-03 23:32:55,C,,23232,1627,23232,32
ggreer/the_silver_searcher,41,3,0,0,0,9,23,0,14,0,2810455,ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,2011-11-19 19:50:47,C,,22958,1312,22958,503
curl/curl,0,22,0,0,0,0,26,0,0,0,569041,curl/curl,https://github.com/curl/curl,2010-03-18 22:32:22,C,,22742,4761,22742,40
cfenollosa/os-tutorial,27,0,0,0,0,0,4,0,2,0,24586308,cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,2014-09-29 08:39:34,C,,22081,2715,22081,94
pjreddie/darknet,8,5,0,0,0,0,2,0,0,2,18666758,pjreddie/darknet,https://github.com/pjreddie/darknet,2014-04-11 07:59:16,C,,21845,18855,21845,1878
emscripten-core/emscripten,0,2,0,0,0,1,10,0,2,0,1357796,emscripten-core/emscripten,https://github.com/emscripten-core/emscripten,2011-02-12 05:23:30,C,,21511,2700,21511,1099
stedolan/jq,0,6,0,0,0,2,12,0,10,0,5101141,stedolan/jq,https://github.com/stedolan/jq,2012-07-18 19:57:25,C,,20782,1232,20782,706
julycoding/The-Art-Of-Programming-By-July,121,0,0,0,0,3,5,0,0,0,15183485,julycoding/The-Art-Of-Programming-By-July,https://github.com/julycoding/The-Art-Of-Programming-By-July,2013-12-14 10:00:06,C,,20161,7142,20161,67
SamyPesse/How-to-Make-a-Computer-Operating-System,0,1,0,0,0,3,4,1,0,0,14807173,SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,2013-11-29 17:36:32,C,,19634,3358,19634,83
coolsnowwolf/lede,24,4,0,0,0,0,3,0,4,5,102578345,coolsnowwolf/lede,https://github.com/coolsnowwolf/lede,2017-09-06 07:39:03,C,,18866,15686,18866,208
libuv/libuv,22,0,0,0,0,8,19,0,15,19,14812739,libuv/libuv,https://github.com/libuv/libuv,2013-11-30 00:29:56,C,,18531,2992,18531,152
Awesome-HarmonyOS/HarmonyOS,38,6,0,2,0,2,5,0,7,0,201454051,Awesome-HarmonyOS/HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,2019-08-09 11:24:00,C,,18373,3319,18373,51
robertdavidgraham/masscan,41,1,0,0,0,0,2,0,75,1,11715753,robertdavidgraham/masscan,https://github.com/robertdavidgraham/masscan,2013-07-28 05:35:33,C,,18161,2612,18161,332
go-delve/delve,11,4,0,0,0,1,4,0,0,0,19994257,go-delve/delve,https://github.com/go-delve/delve,2014-05-20 19:24:43,C,,17392,1760,17392,132
taosdata/TDengine,22,6,0,0,0,8,29,0,2,34,196353673,taosdata/TDengine,https://github.com/taosdata/TDengine,2019-07-11 08:33:48,C,,17376,4149,17376,467
nothings/stb,5,0,0,0,0,2,2,0,0,0,20159867,nothings/stb,https://github.com/nothings/stb,2014-05-25 16:51:23,C,,17341,6075,17341,106
openssl/openssl,27,0,0,0,0,0,3,0,0,0,7634677,openssl/openssl,https://github.com/openssl/openssl,2013-01-15 22:34:48,C,,17062,7459,17062,1574
mpv-player/mpv,40,1,0,0,0,4,7,0,17,0,6201092,mpv-player/mpv,https://github.com/mpv-player/mpv,2012-10-13 08:08:44,C,,16904,2087,16904,738
pbatard/rufus,19,8,0,0,0,10,18,0,1,0,2810292,pbatard/rufus,https://github.com/pbatard/rufus,2011-11-19 19:12:05,C,,16825,1739,16825,12
arendst/Tasmota,56,16,0,0,0,15,33,0,1,0,80286288,arendst/Tasmota,https://github.com/arendst/Tasmota,2017-01-28 13:37:08,C,,16538,3635,16538,21
facebook/zstd,8,3,0,0,0,5,7,0,28,0,29759715,facebook/zstd,https://github.com/facebook/zstd,2015-01-24 00:22:38,C,,15916,1514,15916,83
radareorg/radare2,29,13,0,0,0,9,27,2,7,2,4869294,radareorg/radare2,https://github.com/radareorg/radare2,2012-07-03 07:42:26,C,,15342,2591,15342,836
gentilkiwi/mimikatz,13,1,0,0,0,0,0,0,17,6,18496166,gentilkiwi/mimikatz,https://github.com/gentilkiwi/mimikatz,2014-04-06 18:30:02,C,,14504,2884,14504,126
allinurl/goaccess,61,3,0,0,0,6,17,0,25,0,11397939,allinurl/goaccess,https://github.com/allinurl/goaccess,2013-07-14 03:42:08,C,,14041,948,14041,336
micropython/micropython,17,2,0,0,0,4,6,1,20,0,15337142,micropython/micropython,https://github.com/micropython/micropython,2013-12-20 11:47:07,C,,13380,4918,13380,1365
vurtun/nuklear,26,8,2,0,0,13,16,0,3,3,32866454,vurtun/nuklear,https://github.com/vurtun/nuklear,2015-03-25 13:32:06,C,,13349,1114,13349,238
iovisor/bcc,135,3,0,1,1,1,7,0,0,1,34921116,iovisor/bcc,https://github.com/iovisor/bcc,2015-05-01 19:52:32,C,,13072,2529,13072,649
jarun/nnn,109,10,1,0,0,28,57,0,14,0,66150122,jarun/nnn,https://github.com/jarun/nnn,2016-08-20 14:10:14,C,,13023,509,13023,1
timescale/timescaledb,26,1,0,0,0,11,35,1,4,2,84240850,timescale/timescaledb,https://github.com/timescale/timescaledb,2017-03-07 20:03:41,C,,12166,641,12166,372
Foundry376/Mailspring,2,4,0,0,0,9,20,0,0,3,70777180,Foundry376/Mailspring,https://github.com/Foundry376/Mailspring,2016-10-13 06:45:50,C,,11867,757,11867,8
TheAlgorithms/C,7,12,0,0,0,9,20,0,1,0,63477515,TheAlgorithms/C,https://github.com/TheAlgorithms/C,2016-07-16 10:17:03,C,,11757,3089,11757,100
arut/nginx-rtmp-module,16,0,0,0,0,1,1,0,1,0,3714900,arut/nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,2012-03-14 05:37:38,C,,11468,3249,11468,1053
