Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
tensorflow/tensorflow,21,17,0,0,0,5,66,0,2,4.0,45717250,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07 01:19:20,C++,,161034,85890,161034,2805
bitcoin/bitcoin,0,0,0,0,0,1,2,0,3,0.0,1181927,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19 15:16:43,C++,,59820,30755,59820,1022
apple/swift,14,16,0,0,0,9,20,0,17,3.0,44838949,apple/swift,https://github.com/apple/swift,2015-10-23 21:15:07,C++,,58057,9297,58057,479
pytorch/pytorch,52,9,1,0,5,16,59,1,16,15.0,65600975,pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,C++,,52539,14419,52539,10630
protocolbuffers/protobuf,0,0,0,0,0,3,5,0,0,0.0,23357588,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26 15:52:15,C++,,52120,13498,52120,974
godotengine/godot,0,5,0,0,0,7,24,2,0,0.0,15634981,godotengine/godot,https://github.com/godotengine/godot,2014-01-04 16:05:36,C++,,44285,7999,44285,6803
tesseract-ocr/tesseract,12,9,0,0,0,12,40,0,4,0.0,22887094,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,2014-08-12 18:04:59,C++,,43004,7662,43004,343
x64dbg/x64dbg,43,5,0,0,0,14,32,3,2,0.0,33791743,x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,2015-04-11 20:48:23,C++,,37747,1728,37747,506
grpc/grpc,12,1,0,0,0,13,19,0,10,0.0,27729880,grpc/grpc,https://github.com/grpc/grpc,2014-12-08 18:58:53,C++,,32601,8565,32601,972
BVLC/caffe,7,3,0,0,0,6,15,0,0,0.0,12791642,BVLC/caffe,https://github.com/BVLC/caffe,2013-09-12 18:39:48,C++,,32119,18907,32119,1176
ariya/phantomjs,11,0,0,0,0,2,12,0,1,0.0,1200050,ariya/phantomjs,https://github.com/ariya/phantomjs,2010-12-27 08:18:58,C++,,28628,5825,28628,14
nlohmann/json,363,22,1,0,0,323,387,12,130,45.0,11171548,nlohmann/json,https://github.com/nlohmann/json,2013-07-04 08:47:49,C++,,27651,4715,27651,44
google/leveldb,25,1,0,0,0,3,8,0,2,6.0,23405758,google/leveldb,https://github.com/google/leveldb,2014-08-27 21:17:52,C++,,27179,6084,27179,241
rethinkdb/rethinkdb,37,3,0,0,0,12,33,1,0,0.0,6452529,rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb,2012-10-30 05:37:47,C++,,25132,1831,25132,1433
aria2/aria2,106,0,0,0,0,0,5,0,96,0.0,1116542,aria2/aria2,https://github.com/aria2/aria2,2010-11-27 09:41:48,C++,,24876,2842,24876,864
google/googletest,24,0,0,0,0,9,21,0,2,0.0,39840932,google/googletest,https://github.com/google/googletest,2015-07-28 15:07:53,C++,,24348,8071,24348,216
microsoft/calculator,18,3,0,0,0,3,11,1,1,1.0,168008797,microsoft/calculator,https://github.com/microsoft/calculator,2019-01-28 17:55:49,C++,,23206,4194,23206,240
cmderdev/cmder,74,3,0,0,0,9,16,0,115,9.0,11276147,cmderdev/cmder,https://github.com/cmderdev/cmder,2013-07-09 07:44:22,C++,,23122,1895,23122,16
CMU-Perceptual-Computing-Lab/openpose,24,1,5,1,0,5,16,1,3,4.0,89247811,CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,2017-04-24 14:06:31,C++,,22741,6798,22741,172
topjohnwu/Magisk,19,5,0,0,0,4,10,0,11,0.0,67702184,topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,2016-09-08 12:42:53,C++,,22018,4967,22018,62
dmlc/xgboost,2,25,0,0,0,2,33,0,0,0.0,16587283,dmlc/xgboost,https://github.com/dmlc/xgboost,2014-02-06 17:28:03,C++,,21952,8249,21952,309
huihut/interview,733,40,0,0,0,35,96,0,93,62.0,120887835,huihut/interview,https://github.com/huihut/interview,2018-02-09 09:49:48,C++,,21470,6003,21470,5
facebook/rocksdb,0,4,0,0,0,2,6,0,1,0.0,6934395,facebook/rocksdb,https://github.com/facebook/rocksdb,2012-11-30 06:16:18,C++,,21320,4796,21320,633
ClickHouse/ClickHouse,8,1,0,1,0,1,9,0,0,0.0,60246359,ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,2016-06-02 08:28:18,C++,,20833,4050,20833,1848
mongodb/mongo,5,1,0,0,0,0,0,0,6,3.0,108110,mongodb/mongo,https://github.com/mongodb/mongo,2009-01-15 16:15:18,C++,,20803,5030,20803,54
facebook/folly,2,1,0,0,0,3,3,0,39,10.0,4524181,facebook/folly,https://github.com/facebook/folly,2012-06-01 20:49:04,C++,,20566,4394,20566,340
apache/incubator-mxnet,40,10,0,0,0,31,52,2,0,0.0,34864402,apache/incubator-mxnet,https://github.com/apache/incubator-mxnet,2015-04-30 16:21:15,C++,,19775,6882,19775,1950
ApolloAuto/apollo,43,16,0,0,0,4,16,0,0,3.0,96246170,ApolloAuto/apollo,https://github.com/ApolloAuto/apollo,2017-07-04 19:03:31,C++,,19688,7899,19688,1039
uglide/RedisDesktopManager,0,6,0,0,0,1,10,0,0,0.0,11892946,uglide/RedisDesktopManager,https://github.com/uglide/RedisDesktopManager,2013-08-05 07:51:08,C++,,19332,3040,19332,27
v8/v8,0,0,0,0,0,0,2,0,2,0.0,24420506,v8/v8,https://github.com/v8/v8,2014-09-24 15:24:30,C++,,18727,3525,18727,0
mozilla/DeepSpeech,0,0,0,0,0,0,0,0,5,0.0,60273704,mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,2016-06-02 15:04:53,C++,,18584,3346,18584,127
envoyproxy/envoy,30,5,0,2,0,5,33,0,0,0.0,65214191,envoyproxy/envoy,https://github.com/envoyproxy/envoy,2016-08-08 15:07:24,C++,,18466,3429,18466,1210
osquery/osquery,12,2,0,0,0,5,21,1,3,6.0,22394357,osquery/osquery,https://github.com/osquery/osquery,2014-07-29 20:27:33,C++,,18439,2237,18439,530
alibaba/weex,0,4,0,0,0,2,5,0,0,0.0,53658802,alibaba/weex,https://github.com/alibaba/weex,2016-03-11 10:18:11,C++,,17774,2156,17774,23
taichi-dev/taichi,12,15,6,3,0,20,30,0,0,1.0,74660642,taichi-dev/taichi,https://github.com/taichi-dev/taichi,2016-11-24 10:00:05,C++,,17523,1792,17523,421
telegramdesktop/tdesktop,37,4,0,0,0,17,38,0,0,0.0,19374812,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,2014-05-02 12:36:31,C++,,17411,3707,17411,705
yuzu-emu/yuzu,7,1,0,0,0,6,17,0,0,0.0,116167731,yuzu-emu/yuzu,https://github.com/yuzu-emu/yuzu,2018-01-03 18:13:57,C++,,17243,1459,17243,839
swoole/swoole-src,28,11,0,0,0,15,25,1,17,15.0,5133949,swoole/swoole-src,https://github.com/swoole/swoole-src,2012-07-21 13:49:59,C++,,17149,3176,17149,69
facebook/hhvm,5,0,0,0,0,2,16,0,3,0.0,455600,facebook/hhvm,https://github.com/facebook/hhvm,2010-01-02 01:17:06,C++,,17143,2971,17143,632
google/flatbuffers,21,6,0,0,0,0,5,0,1,0.0,19953044,google/flatbuffers,https://github.com/google/flatbuffers,2014-05-19 18:33:01,C++,,17120,2671,17120,134
microsoft/CNTK,134,3,0,0,0,4,27,0,61,1.0,46918116,microsoft/CNTK,https://github.com/microsoft/CNTK,2015-11-26 09:52:06,C++,,17117,4386,17117,838
