Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
microsoft/PowerToys,48,3,1,0,0,23,32,0,3,1.0,184456251,microsoft/PowerToys,https://github.com/microsoft/PowerToys,2019-05-01 17:44:02,C#,,64333,3556,64333,2140
shadowsocks/shadowsocks-windows,19,3,0,0,0,4,5,0,5,2.0,7600409,shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,2013-01-14 07:54:16,C#,,53513,16188,53513,62
PowerShell/PowerShell,6,0,0,0,0,6,15,0,0,1.0,49609581,PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,2016-01-13 23:41:35,C#,,31124,4908,31124,3170
dotnet/aspnetcore,7,3,0,0,0,5,11,0,0,0.0,17620347,dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,2014-03-11 06:09:42,C#,,26646,7147,26646,2197
2dust/v2rayN,5,0,0,0,0,1,2,0,0,0.0,199570071,2dust/v2rayN,https://github.com/2dust/v2rayN,2019-07-30 03:47:24,C#,,24225,5121,24225,44
CodeHubApp/CodeHub,9,3,0,0,0,5,12,0,3,0.0,11620669,CodeHubApp/CodeHub,https://github.com/CodeHubApp/CodeHub,2013-07-23 22:19:57,C#,,23312,642,23312,235
Wox-launcher/Wox,32,6,1,0,0,6,10,0,6,0.0,15315789,Wox-launcher/Wox,https://github.com/Wox-launcher/Wox,2013-12-19 15:49:32,C#,,21061,2257,21061,766
dnSpy/dnSpy,49,2,2,0,0,8,9,0,0,1.0,38380854,dnSpy/dnSpy,https://github.com/dnSpy/dnSpy,2015-07-01 16:05:10,C#,,19582,3658,19582,185
dotnet-architecture/eShopOnContainers,7,11,0,0,0,18,23,0,4,2.0,70104825,dotnet-architecture/eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,2016-10-05 22:35:23,C#,,19281,8186,19281,47
ShareX/ShareX,0,8,0,0,0,1,9,0,0,0.0,13428264,ShareX/ShareX,https://github.com/ShareX/ShareX,2013-10-08 23:32:10,C#,,17970,2334,17970,384
mxgmn/WaveFunctionCollapse,80,15,7,2,0,55,82,0,0,1.0,69662720,mxgmn/WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,2016-09-30 11:53:17,C#,,17092,885,17092,0
NickeManarin/ScreenToGif,13,19,3,0,0,9,26,0,0,0.0,64713769,NickeManarin/ScreenToGif,https://github.com/NickeManarin/ScreenToGif,2016-08-02 01:28:59,C#,,15963,1707,15963,170
