Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
golang/go,0,1,0,0,0,0,0,0,0,0.0,23096959,golang/go,https://github.com/golang/go,2014-08-19 04:33:40,Go,,92879,13763,92879,7599
kubernetes/kubernetes,0,2,0,0,0,0,2,0,1,2.0,20580498,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06 22:56:04,Go,,83290,30461,83290,2510
avelino/awesome-go,2178,8,0,4,0,1951,2174,37,42,0.0,21540759,avelino/awesome-go,https://github.com/avelino/awesome-go,2014-07-06 13:42:15,Go,,71670,9249,71670,53
moby/moby,4,1,0,0,0,2,2,0,0,0.0,7691631,moby/moby,https://github.com/moby/moby,2013-01-18 18:10:57,Go,,61716,17839,61716,4181
gohugoio/hugo,2,4,0,0,0,7,19,3,8,4.0,11180687,gohugoio/hugo,https://github.com/gohugoio/hugo,2013-07-04 15:26:26,Go,,55628,6312,55628,711
gin-gonic/gin,43,10,0,0,0,41,46,2,40,93.0,20904437,gin-gonic/gin,https://github.com/gin-gonic/gin,2014-06-16 23:57:25,Go,,53567,6078,53567,457
fatedier/frp,49,6,0,0,0,5,9,0,109,53.0,48378947,fatedier/frp,https://github.com/fatedier/frp,2015-12-21 15:24:59,Go,,51367,9342,51367,97
syncthing/syncthing,7,6,0,0,0,1,6,0,0,0.0,14712850,syncthing/syncthing,https://github.com/syncthing/syncthing,2013-11-26 09:48:21,Go,,41718,3265,41718,304
junegunn/fzf,56,4,0,1,0,11,15,1,91,32.0,13807606,junegunn/fzf,https://github.com/junegunn/fzf,2013-10-23 16:04:23,Go,,40704,1765,40704,259
prometheus/prometheus,20,8,0,0,0,6,19,0,10,0.0,6838921,prometheus/prometheus,https://github.com/prometheus/prometheus,2012-11-24 11:14:12,Go,,39900,6632,39900,558
astaxie/build-web-application-with-golang,22,1,0,0,0,7,12,0,0,0.0,5271882,astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,2012-08-02 11:49:35,Go,,39194,10354,39194,105
v2ray/v2ray-core,6,0,0,0,0,3,6,0,0,0.0,41912791,v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,2015-09-04 11:42:53,Go,,38672,8305,38672,21
etcd-io/etcd,44,11,0,10,0,12,33,0,3,7.0,11225014,etcd-io/etcd,https://github.com/etcd-io/etcd,2013-07-06 21:57:21,Go,,38097,8168,38097,187
gogs/gogs,62,3,0,0,0,14,48,1,1,0.0,16752620,gogs/gogs,https://github.com/gogs/gogs,2014-02-12 01:57:08,Go,,38088,4443,38088,806
traefik/traefik,25,10,0,1,0,2,30,0,0,3.0,42408804,traefik/traefik,https://github.com/traefik/traefik,2015-09-13 19:04:02,Go,,35876,3965,35876,604
caddyserver/caddy,35,0,0,0,0,11,38,1,12,4.0,29207621,caddyserver/caddy,https://github.com/caddyserver/caddy,2015-01-13 19:45:03,Go,,35661,2851,35661,91
ethereum/go-ethereum,22,3,0,0,0,3,25,0,73,15.0,15452919,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,2013-12-26 13:05:46,Go,,33864,12515,33864,285
FiloSottile/mkcert,16,1,0,0,0,3,10,0,15,13.0,138547797,FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,2018-06-25 05:33:03,Go,,32841,1538,32841,104
minio/minio,13,3,0,0,0,6,27,0,46,16.0,29261473,minio/minio,https://github.com/minio/minio,2015-01-14 19:23:58,Go,,30491,3457,30491,28
hashicorp/terraform,11,1,0,0,0,1,12,0,0,0.0,17728164,hashicorp/terraform,https://github.com/hashicorp/terraform,2014-03-13 22:25:48,Go,,30288,7119,30288,1537
