Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
CyC2018/CS-Notes,33,1,0,0,0,49,55,0,1,0.0,121395510,CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13 14:56:24,Java,,142836,45559,142836,132
Snailclimb/JavaGuide,98,8,0,1,0,4,35,0,1,0.0,132464395,Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,2018-05-07 13:27:00,Java,,114197,38967,114197,60
iluwatar/java-design-patterns,3,6,0,0,0,180,200,1,2,0.0,22790488,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09 16:45:18,Java,,71613,22288,71613,268
MisterBooo/LeetCodeAnimation,0,13,8,0,0,68,88,0,0,0.0,160640094,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06 08:01:22,Java,,67994,13032,67994,12
doocs/advanced-java,91,16,0,0,0,18,22,0,0,0.0,151834062,doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06 11:38:30,Java,,58861,16126,58861,2
spring-projects/spring-boot,21,0,0,0,0,0,0,2,15,0.5,6296790,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19 15:02:57,Java,,58480,35068,58480,559
elastic/elasticsearch,7,0,0,0,0,0,0,0,1,0.0,507775,elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08 13:20:56,Java,,57480,20910,57480,3632
kdn251/interviews,167,20,8,1,0,1,29,0,59,2.0,81975372,kdn251/interviews,https://github.com/kdn251/interviews,2017-02-14 18:19:25,Java,,54754,11631,54754,99
macrozheng/mall,26,12,0,0,0,6,27,0,8,1.0,127988011,macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04 01:11:44,Java,,54498,23193,54498,31
ReactiveX/RxJava,30,4,0,0,0,15,33,0,73,35.0,7508411,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08 20:11:48,Java,,45542,7524,45542,12
google/guava,17,2,0,0,0,4,9,1,8,2.0,20300177,google/guava,https://github.com/google/guava,2014-05-29 16:23:17,Java,,43017,9560,43017,728
