Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
freeCodeCamp/freeCodeCamp,53,6,0,0,0,0,74,0,3,0.0,28457823,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24 17:49:19,JavaScript,,336875,27460,336875,119
facebook/react,12,1,0,0,0,3,23,0,3,1.0,10270250,facebook/react,https://github.com/facebook/react,2013-05-24 16:15:54,JavaScript,,178604,36193,178604,901
twbs/bootstrap,31,27,0,0,0,18,65,1,15,1.0,2126244,twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29 21:19:00,JavaScript,,154234,75451,154234,444
trekhleb/javascript-algorithms,176,3,0,0,0,5,9,2,162,6.0,126577260,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24 07:47:04,JavaScript,,127524,20877,127524,262
d3/d3,5,1,0,0,0,5,10,0,4,7.0,943149,d3/d3,https://github.com/d3/d3,2010-09-27 17:22:42,JavaScript,,99484,22896,99484,3
facebook/create-react-app,25,5,0,0,0,16,31,1,12,6.0,63537249,facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17 14:55:11,JavaScript,,91797,23300,91797,1358
axios/axios,35,12,0,0,0,14,35,0,89,38.0,23088740,axios/axios,https://github.com/axios/axios,2014-08-18 22:30:27,JavaScript,,89600,8963,89600,302
mui-org/material-ui,3,30,0,0,0,7,46,0,1,2.0,23083156,mui-org/material-ui,https://github.com/mui-org/material-ui,2014-08-18 19:11:54,JavaScript,,73433,25121,73433,854
awesome-selfhosted/awesome-selfhosted,1307,1,0,40,0,1003,1235,46,1292,0.0,36633370,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01 02:33:17,JavaScript,,69232,4999,69232,115
FortAwesome/Font-Awesome,43,1,0,0,0,16,38,0,6,0.0,3470471,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,JavaScript,,66820,11728,66820,5677
yangshun/tech-interview-handbook,13,5,0,0,0,7,29,1,1,0.0,62607227,yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,2016-07-05 05:00:48,JavaScript,,61895,8637,61895,8
ryanmcdermott/clean-code-javascript,55,19,0,0,0,24,30,0,33,92.0,74791366,ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,2016-11-25 22:25:41,JavaScript,,60618,7746,60618,50
webpack/webpack,43,282,0,0,0,38,329,6,6,2.0,3678731,webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14,JavaScript,,59919,8110,59919,274
angular/angular.js,7,2,0,0,0,3,6,0,2,0.0,460078,angular/angular.js,https://github.com/angular/angular.js,2010-01-06 00:34:37,JavaScript,,59582,28414,59582,464
typicode/json-server,58,1,0,2,0,15,34,0,40,43.0,14747598,typicode/json-server,https://github.com/typicode/json-server,2013-11-27 13:21:13,JavaScript,,58244,5613,58244,600
hakimel/reveal.js,0,3,0,0,0,1,8,0,0,0.0,1861458,hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07 18:54:22,JavaScript,,57905,15864,57905,682
jquery/jquery,34,2,0,0,0,4,19,1,42,31.0,167174,jquery/jquery,https://github.com/jquery/jquery,2009-04-03 15:20:14,JavaScript,,55635,20183,55635,82
expressjs/express,13,1,0,0,0,9,20,0,5,9.0,237159,expressjs/express,https://github.com/expressjs/express,2009-06-26 18:56:01,JavaScript,,55146,9324,55146,165
adam-p/markdown-here,37,5,0,0,0,13,29,1,11,4.0,4311796,adam-p/markdown-here,https://github.com/adam-p/markdown-here,2012-05-13 03:27:22,JavaScript,,53761,10301,53761,304
gatsbyjs/gatsby,21,0,0,0,0,3,32,0,2,3.0,36040894,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05,JavaScript,,51851,10013,51851,409
