Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
laravel/laravel,22,5,0,2,0,0,33,0,0,0.0,1863329,laravel/laravel,https://github.com/laravel/laravel,2011-06-08 03:06:08,PHP,,67531,21845,67531,31
danielmiessler/SecLists,4,2,0,0,0,3,6,1,0,4.0,3482588,danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,2012-02-19 01:30:18,PHP,,35360,18356,35360,24
blueimp/jQuery-File-Upload,62,0,0,0,0,18,30,0,2,5.0,1129010,blueimp/jQuery-File-Upload,https://github.com/blueimp/jQuery-File-Upload,2010-12-01 15:35:32,PHP,,31081,8218,31081,49
fzaninotto/Faker,43,4,0,0,0,34,39,1,166,112.0,2579314,fzaninotto/Faker,https://github.com/fzaninotto/Faker,2011-10-14 22:49:02,PHP,,26235,3232,26235,246
symfony/symfony,10,0,0,0,0,0,1,0,0,0.0,458058,symfony/symfony,https://github.com/symfony/symfony,2010-01-04 14:21:21,PHP,,26145,8428,26145,735
composer/composer,3,1,0,0,0,5,12,1,0,0.0,1864363,composer/composer,https://github.com/composer/composer,2011-06-08 08:53:00,PHP,,25921,6199,25921,176
laravel/framework,6,5,0,2,0,3,17,0,0,0.0,7548986,laravel/framework,https://github.com/laravel/framework,2013-01-10 21:27:28,PHP,,25561,8702,25561,10
guzzle/guzzle,10,4,0,0,0,3,10,0,5,2.0,1420053,guzzle/guzzle,https://github.com/guzzle/guzzle,2011-02-28 02:44:05,PHP,,21347,2244,21347,34
DesignPatternsPHP/DesignPatternsPHP,35,3,0,0,0,1,56,0,4,4.0,2246815,DesignPatternsPHP/DesignPatternsPHP,https://github.com/DesignPatternsPHP/DesignPatternsPHP,2011-08-22 05:24:31,PHP,,20111,4336,20111,4
Seldaek/monolog,22,3,0,0,0,16,26,2,1,2.0,1376664,Seldaek/monolog,https://github.com/Seldaek/monolog,2011-02-17 02:07:15,PHP,,19317,1789,19317,36
bcit-ci/CodeIgniter,6,0,0,0,0,2,3,0,9,0.0,2234102,bcit-ci/CodeIgniter,https://github.com/bcit-ci/CodeIgniter,2011-08-19 13:34:00,PHP,,18172,7783,18172,96
sebastianbergmann/phpunit,8,4,0,0,0,10,15,1,1,1.0,448045,sebastianbergmann/phpunit,https://github.com/sebastianbergmann/phpunit,2009-12-24 13:16:23,PHP,,18062,2046,18062,160
nextcloud/server,22,4,0,0,0,3,26,0,7,7.0,60243197,nextcloud/server,https://github.com/nextcloud/server,2016-06-02 07:44:14,PHP,,17576,2845,17576,1830
PHPMailer/PHPMailer,29,9,0,0,0,25,38,3,13,6.0,2253830,PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer,2011-08-23 07:57:17,PHP,,17434,9040,17434,35
WordPress/WordPress,6,0,0,0,0,0,19,0,0,0.0,2889328,WordPress/WordPress,https://github.com/WordPress/WordPress,2011-12-01 07:05:17,PHP,,15712,10546,15712,2
matomo-org/matomo,16,6,0,0,0,0,20,0,0,0.0,1548202,matomo-org/matomo,https://github.com/matomo-org/matomo,2011-03-30 21:18:17,PHP,,15676,2224,15676,1882
briannesbitt/Carbon,0,14,0,0,0,2,23,1,2,5.0,5724990,briannesbitt/Carbon,https://github.com/briannesbitt/Carbon,2012-09-08 02:56:20,PHP,,15547,1191,15547,6
monicahq/monica,102,7,0,0,0,10,22,1,0,0.0,82238168,monicahq/monica,https://github.com/monicahq/monica,2017-02-17 00:02:58,PHP,,15461,1584,15461,494
nikic/PHP-Parser,47,1,0,0,0,0,2,0,2,6.0,1631570,nikic/PHP-Parser,https://github.com/nikic/PHP-Parser,2011-04-18 17:03:47,PHP,,15069,847,15069,77
easychen/howto-make-more-money,9,4,0,0,0,1,5,0,0,0.0,53783664,easychen/howto-make-more-money,https://github.com/easychen/howto-make-more-money,2016-03-13 12:22:03,PHP,,14869,1572,14869,5
