Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
rails/rails,5,0,0,0,0,0,6,0,5,0.0,8514,rails/rails,https://github.com/rails/rails,2008-04-11 02:19:47,Ruby,,49511,19904,49511,602
jekyll/jekyll,12,18,0,1,0,4,33,1,1,0.0,65252,jekyll/jekyll,https://github.com/jekyll/jekyll,2008-10-20 06:29:03,Ruby,,43755,9624,43755,167
discourse/discourse,16,6,0,0,0,7,26,0,0,0.0,7569578,discourse/discourse,https://github.com/discourse/discourse,2013-01-12 00:25:55,Ruby,,34552,7454,34552,25
fastlane/fastlane,4,32,0,0,0,33,64,0,3,0.0,27442967,fastlane/fastlane,https://github.com/fastlane/fastlane,2014-12-02 17:00:38,Ruby,,33329,5054,33329,222
huginn/huginn,27,10,0,0,0,11,23,0,17,2.0,8681349,huginn/huginn,https://github.com/huginn/huginn,2013-03-10 06:00:31,Ruby,,32752,3115,32752,576
Homebrew/brew,9,6,0,0,0,13,31,2,6,0.0,53238813,Homebrew/brew,https://github.com/Homebrew/brew,2016-03-06 05:08:38,Ruby,,30141,6925,30141,43
bayandin/awesome-awesomeness,3,1,0,0,0,0,2,4,0,0.0,21600440,bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,2014-07-08 05:44:19,Ruby,,28286,3449,28286,15
freeCodeCamp/devdocs,17,16,0,0,0,22,35,0,10,3.0,13840241,freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs,2013-10-24 18:16:07,Ruby,,27130,1826,27130,126
mastodon/mastodon,18,8,1,0,0,0,11,0,3,0.0,52281283,mastodon/mastodon,https://github.com/mastodon/mastodon,2016-02-22 15:01:25,Ruby,,26030,4235,26030,2005
rapid7/metasploit-framework,0,1,0,0,0,2,4,0,1,0.0,2293158,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2011-08-30 06:13:20,Ruby,,25748,11775,25748,494
hashicorp/vagrant,3,0,0,0,0,2,10,0,3,0.0,481872,hashicorp/vagrant,https://github.com/hashicorp/vagrant,2010-01-21 08:34:27,Ruby,,23045,4177,23045,579
gitlabhq/gitlabhq,20,0,0,0,0,0,28,0,0,0.0,2500088,gitlabhq/gitlabhq,https://github.com/gitlabhq/gitlabhq,2011-10-02 16:25:27,Ruby,,22781,5693,22781,34
heartcombo/devise,36,2,0,0,0,7,20,0,49,51.5,308770,heartcombo/devise,https://github.com/heartcombo/devise,2009-09-16 12:15:12,Ruby,,22061,5328,22061,154
kilimchoi/engineering-blogs,657,1,0,0,0,1,3,0,0,0.0,37382858,kilimchoi/engineering-blogs,https://github.com/kilimchoi/engineering-blogs,2015-06-13 18:25:17,Ruby,,20553,537,20553,45
Homebrew/homebrew-cask,16,2,1,0,0,7,9,0,7,1.0,3623050,Homebrew/homebrew-cask,https://github.com/Homebrew/homebrew-cask,2012-03-05 02:05:17,Ruby,,18730,9487,18730,37
ruby/ruby,23,8,0,0,0,5,8,0,8,0.0,538746,ruby/ruby,https://github.com/ruby/ruby,2010-02-27 15:55:23,Ruby,,18680,5357,18680,331
forem/forem,42,2,0,0,0,5,53,1,0,0.0,73648678,forem/forem,https://github.com/forem/forem,2016-11-13 23:02:13,Ruby,,18337,3205,18337,409
CocoaPods/CocoaPods,8,11,0,0,0,9,21,1,4,0.0,2203645,CocoaPods/CocoaPods,https://github.com/CocoaPods/CocoaPods,2011-08-14 00:10:53,Ruby,,13485,2487,13485,298
diaspora/diaspora,0,0,0,0,0,2,11,0,0,0.0,911765,diaspora/diaspora,https://github.com/diaspora/diaspora,2010-09-15 05:20:04,Ruby,,12924,2933,12924,441
