Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
kamranahmedse/developer-roadmap,16,4,0,0,0,2,19,0,0,1.0,85077558,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15 13:45:52,TypeScript,,178298,25570,178298,76
microsoft/vscode,16,4,0,0,0,16,26,0,3,0.0,41881900,microsoft/vscode,https://github.com/microsoft/vscode,2015-09-03 20:23:38,TypeScript,,124900,20875,124900,5374
angular/angular,18,3,0,0,0,3,9,0,0,3.0,24195339,angular/angular,https://github.com/angular/angular,2014-09-18 16:12:01,TypeScript,,78043,20482,78043,1876
microsoft/TypeScript,10,4,0,0,0,8,23,0,0,7.0,20929025,microsoft/TypeScript,https://github.com/microsoft/TypeScript,2014-06-17 15:28:39,TypeScript,,76364,10002,76364,5418
ant-design/ant-design,28,8,0,0,0,9,35,0,2,5.0,34526884,ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24 15:37:24,TypeScript,,76031,31470,76031,742
puppeteer/puppeteer,46,2,0,2,0,27,38,0,31,22.0,90796663,puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,2017-05-09 22:16:13,TypeScript,,74949,7921,74949,1758
storybookjs/storybook,26,81,1,2,1,23,117,0,7,1.0,54173593,storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18 04:23:44,TypeScript,,66979,6843,66979,1582
reduxjs/redux,53,6,0,1,0,25,64,0,2,4.0,36535156,reduxjs/redux,https://github.com/reduxjs/redux,2015-05-29 23:53:15,TypeScript,,57119,14973,57119,44
socketio/socket.io,12,69,0,0,0,12,85,0,15,10.0,557980,socketio/socket.io,https://github.com/socketio/socket.io,2010-03-11 18:24:48,TypeScript,,54834,9930,54834,114
sveltejs/svelte,1,2,0,0,0,1,9,0,3,5.0,74293321,sveltejs/svelte,https://github.com/sveltejs/svelte,2016-11-20 18:13:05,TypeScript,,53386,2562,53386,630
apache/echarts,16,2,0,0,0,12,25,0,2,1.0,9185792,apache/echarts,https://github.com/apache/echarts,2013-04-03 03:18:59,TypeScript,,48982,18328,48982,1939
ionic-team/ionic-framework,5,4,0,0,0,11,28,1,7,0.0,12256376,ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,2013-08-20 23:06:02,TypeScript,,45692,13462,45692,676
grafana/grafana,16,4,0,0,0,5,16,0,0,0.0,15111821,grafana/grafana,https://github.com/grafana/grafana,2013-12-11 15:59:56,TypeScript,,45209,9028,45209,2137
remix-run/react-router,3,0,0,0,0,3,5,0,4,0.0,19872456,remix-run/react-router,https://github.com/remix-run/react-router,2014-05-16 22:22:51,TypeScript,,45157,8722,45157,79
nestjs/nest,7,56,0,0,0,4,72,1,0,0.0,80945428,nestjs/nest,https://github.com/nestjs/nest,2017-02-04 20:12:52,TypeScript,,42618,4482,42618,95
apache/superset,30,38,0,0,0,4,31,0,0,0.0,39464018,apache/superset,https://github.com/apache/superset,2015-07-21 18:55:34,TypeScript,,42389,8238,42389,1252
babel/babel,10,24,0,2,0,9,43,0,0,2.0,24560307,babel/babel,https://github.com/babel/babel,2014-09-28 13:38:23,TypeScript,,40045,5121,40045,767
vercel/hyper,16,3,0,0,0,9,16,0,16,5.0,62367558,vercel/hyper,https://github.com/vercel/hyper,2016-07-01 06:01:21,TypeScript,,37390,3099,37390,737
facebook/jest,23,9,0,0,0,8,31,0,18,15.0,15062869,facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04,TypeScript,,37268,5488,37268,1661
DefinitelyTyped/DefinitelyTyped,47,7,0,0,0,41,68,1,136,17.0,6093316,DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05 16:39:45,TypeScript,,36910,26244,36910,704
styled-components/styled-components,8,19,0,0,0,6,37,0,10,6.0,65794292,styled-components/styled-components,https://github.com/styled-components/styled-components,2016-08-16 06:41:32,TypeScript,,35385,2188,35385,58
pixijs/pixijs,36,5,0,0,0,10,37,0,1,7.0,7741856,pixijs/pixijs,https://github.com/pixijs/pixijs,2013-01-21 22:40:50,TypeScript,,34889,4433,34889,99
vitejs/vite,8,10,0,0,0,2,18,0,1,0.0,257485422,vitejs/vite,https://github.com/vitejs/vite,2020-04-21 05:03:57,TypeScript,,34605,2475,34605,696
vuetifyjs/vuetify,10,5,0,0,0,28,104,1,0,0.0,67962648,vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,2016-09-12 00:39:35,TypeScript,,32980,5976,32980,999
immutable-js/immutable-js,41,2,0,1,0,22,34,0,53,30.0,21413198,immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,2014-07-02 06:02:29,TypeScript,,31631,1851,31631,110
ant-design/ant-design-pro,50,5,0,0,0,5,9,0,0,2.0,101394335,ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,2017-08-25 10:40:44,TypeScript,,30815,7167,30815,113
nativefier/nativefier,16,2,1,1,0,9,14,0,20,4.0,38558578,nativefier/nativefier,https://github.com/nativefier/nativefier,2015-07-05 05:56:42,TypeScript,,29181,1862,29181,185
formium/formik,3,8,0,0,0,7,15,1,0,0.0,94367677,formium/formik,https://github.com/formium/formik,2017-06-14 19:50:59,TypeScript,,28889,2362,28889,651
facebook/docusaurus,8,19,0,0,0,9,37,1,3,2.0,94911145,facebook/docusaurus,https://github.com/facebook/docusaurus,2017-06-20 16:13:53,TypeScript,,28685,3855,28685,176
laurent22/joplin,84,132,0,1,0,151,187,0,43,1.0,79162682,laurent22/joplin,https://github.com/laurent22/joplin,2017-01-16 21:49:41,TypeScript,,26707,2938,26707,365
streamich/react-use,102,1,0,2,0,3,57,0,95,0.0,154950925,streamich/react-use,https://github.com/streamich/react-use,2018-10-27 10:16:05,TypeScript,,26612,2030,26612,432
typeorm/typeorm,62,3,0,0,0,24,37,0,70,48.0,52773157,typeorm/typeorm,https://github.com/typeorm/typeorm,2016-02-29 07:41:14,TypeScript,,26427,4744,26427,1418
vuejs/vue-next,16,3,0,0,0,9,19,0,5,2.0,137078487,vuejs/vue-next,https://github.com/vuejs/vue-next,2018-06-12 13:49:36,TypeScript,,26155,4543,26155,436
ReactiveX/rxjs,14,4,0,0,0,6,11,0,5,3.0,32247847,ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,2015-03-15 06:17:10,TypeScript,,26062,2680,26062,219
postcss/postcss,70,0,0,1,0,13,26,1,75,11.0,13078968,postcss/postcss,https://github.com/postcss/postcss,2013-09-24 23:06:48,TypeScript,,25532,1433,25532,9
excalidraw/excalidraw,10,3,0,0,0,3,24,1,7,7.0,231283452,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02 01:04:43,TypeScript,,25212,1904,25212,500
angular/angular-cli,14,16,0,0,0,16,20,0,42,4.0,36891867,angular/angular-cli,https://github.com/angular/angular-cli,2015-06-04 19:49:37,TypeScript,,25071,11900,25071,276
mobxjs/mobx,10,26,0,1,0,4,41,0,4,1.0,32215970,mobxjs/mobx,https://github.com/mobxjs/mobx,2015-03-14 14:31:38,TypeScript,,24572,1611,24572,19
cheeriojs/cheerio,17,0,0,0,0,12,30,3,30,17.0,2541284,cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,2011-10-09 04:23:20,TypeScript,,24572,1504,24572,18
react-hook-form/react-hook-form,6,18,1,0,0,56,76,0,0,1.0,174038031,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05 23:47:10,TypeScript,,24429,1174,24429,7
