Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
Genymobile/scrcpy,54,3,0,1,0,1,2,0,63,65.0,111583593,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21 18:00:27,C,,58323,6082,58323,861,3,Genymobile/scrcpy,Genymobile/scrcpy,26,264,290,110,370808,27,138,1762,921,1854,2775,7,263,2017-11-21 18:00:27,1599,231.8999374609131,0.0687929956222639,0.0863039399624765,0.0168855534709193,1.1019387116948092,5.111111111111111,6.229935376276839,1
netdata/netdata,37,20,1,0,0,6,41,1,5,2.0,10744183,netdata/netdata,https://github.com/netdata/netdata,2013-06-17 18:39:10,C,,56950,5120,56950,267,4,netdata/netdata,netdata/netdata,91,5584,5675,575,435971,30,131,13491,183,6364,6547,0,290,2013-06-17 18:39:10,3217,135.52098228162885,0.1787379546161019,0.0407211687907988,0.0093254585017096,4.193658688218838,4.366666666666666,8.569650813387213,1
redis/redis,52,0,0,0,0,0,1,0,89,1.0,156018,redis/redis,https://github.com/redis/redis,2009-03-21 22:32:25,C,,52099,20373,52099,2094,1,redis/redis,redis/redis,452,4509,4961,671,0,28,0,11000,1606,3676,5282,6,53,2009-03-21 22:32:25,4766,0.0,0.1407889215274863,0.0,0.0058749475451112,2.3080151070079733,0.0,2.3138900545530845,1
obsproject/obs-studio,12,0,0,0,0,0,4,6,3,0.0,13233158,obsproject/obs-studio,https://github.com/obsproject/obs-studio,2013-10-01 02:40:31,C,,33638,5385,33638,610,7,obsproject/obs-studio,obsproject/obs-studio,151,3741,3892,555,362213,30,83,10536,483,1501,1984,0,20,2013-10-01 02:40:31,3111,116.42976534876246,0.1783992285438765,0.0266795242687238,0.0096432015429122,3.3866923818707813,2.7666666666666666,6.1630022500803605,1
ventoy/Ventoy,28,6,0,0,0,1,31,0,2,0.0,246335987,ventoy/Ventoy,https://github.com/ventoy/Ventoy,2020-03-10 15:19:19,C,,28939,2157,28939,257,16,ventoy/Ventoy,ventoy/Ventoy,44,173,217,60,511899,30,87,623,257,902,1159,0,58,2020-03-10 15:19:19,759,674.4387351778656,0.0790513833992094,0.1146245059288537,0.0395256916996047,0.8208168642951251,2.9,3.76034255599473,1
FFmpeg/FFmpeg,11,0,0,0,0,0,5,0,9,0.0,1614410,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,2011-04-14 14:12:38,C,,27167,8946,27167,3,8,FFmpeg/FFmpeg,FFmpeg/FFmpeg,1,373,374,2144,8154,11,9,105885,0,0,0,0,11,2011-04-14 14:12:38,4012,2.032402791625125,0.5343968095712861,0.0022432701894317,0.002741774675972,26.39207377866401,0.8181818181818182,27.212997371521798,1
tmux/tmux,6,0,0,0,0,0,0,0,0,0.0,36836475,tmux/tmux,https://github.com/tmux/tmux,2015-06-03 23:32:55,C,,23232,1627,23232,32,24,tmux/tmux,tmux/tmux,2,460,462,49,1878844,30,32,9721,21,2614,2635,0,34,2015-06-03 23:32:55,2501,751.2371051579369,0.0195921631347461,0.0127948820471811,0.0119952019192323,3.886845261895242,1.0666666666666669,4.965507130481141,1
curl/curl,0,22,0,0,0,0,26,0,0,0.0,569041,curl/curl,https://github.com/curl/curl,2010-03-18 22:32:22,C,,22742,4761,22742,40,10,curl/curl,curl/curl,45,0,45,1086,43790,30,240,28334,19,3182,3201,1,37,2010-03-18 22:32:22,4404,9.943233424159857,0.2465940054495912,0.0544959128065395,0.0068119891008174,6.43369663941871,8.0,14.440508628519527,1
emscripten-core/emscripten,0,2,0,0,0,1,10,0,2,0.0,1357796,emscripten-core/emscripten,https://github.com/emscripten-core/emscripten,2011-02-12 05:23:30,C,,21511,2700,21511,1099,20,emscripten-core/emscripten,emscripten-core/emscripten,235,8811,9046,743,0,1,0,23873,984,6249,7233,0,14,2011-02-12 05:23:30,4073,0.0,0.1824208200343727,0.0,0.0002455192732629,5.861281610606433,0.0,5.861527129879696,1
stedolan/jq,0,6,0,0,0,2,12,0,10,0.0,5101141,stedolan/jq,https://github.com/stedolan/jq,2012-07-18 19:57:25,C,,20782,1232,20782,706,31,stedolan/jq,stedolan/jq,129,383,512,142,2418034,9,42,1340,605,1265,1870,2,22,2012-07-18 19:57:25,3551,680.9445226696705,0.0399887355674457,0.0118276541819205,0.0025344973246972,0.3773584905660377,4.666666666666667,5.046559654557402,1
