Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
tensorflow/tensorflow,21,17,0,0,0,5,66,0,2,4.0,45717250,tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07 01:19:20,C++,,161034,85890,161034,2805,0,tensorflow/tensorflow,3720.0,0.0,2.0,0.0,126316.0,2334.0,31882.0,34216.0,332.0,20188.0,20520.0,1.0,247.0,tensorflow/tensorflow,2015-11-07 01:19:20,2344,0.0,1.5870307167235496,0.0,0.0008532423208191,53.88907849829352,0.0,53.889931740614344,0
bitcoin/bitcoin,0,0,0,0,0,1,2,0,3,0.0,1181927,bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19 15:16:43,C++,,59820,30755,59820,1022,1,bitcoin/bitcoin,1075.0,0.0,2.0,0.0,32903.0,607.0,6159.0,6766.0,418.0,16516.0,16934.0,1.0,67.0,bitcoin/bitcoin,2010-12-19 15:16:43,4128,0.0,0.2604166666666667,0.0,0.000484496124031,7.970687984496124,0.0,7.9711724806201545,0
apple/swift,14,16,0,0,0,9,20,0,17,3.0,44838949,apple/swift,https://github.com/apple/swift,2015-10-23 21:15:07,C++,,58057,9297,58057,479,2,apple/swift,1295.0,0.0,2.0,0.0,132944.0,0.0,0.0,0.0,496.0,41084.0,41580.0,0.0,230.0,apple/swift,2015-10-23 21:15:07,2359,0.0,0.5489614243323442,0.0,0.0008478168715557,56.35608308605341,0.0,56.356930902924965,0
pytorch/pytorch,52,9,1,0,5,16,59,1,16,15.0,65600975,pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13 05:26:41,C++,,52539,14419,52539,10630,3,pytorch/pytorch,3086.0,2499.0,30.0,3.0,44377.0,7715.0,17139.0,24854.0,3640.0,45325.0,48965.0,15.0,203.0,pytorch/pytorch,2016-08-13 05:26:41,2064,1.2107558139534884,1.49515503875969,0.001453488372093,0.0145348837209302,21.50048449612403,0.1,21.615019379844963,0
protocolbuffers/protobuf,0,0,0,0,0,3,5,0,0,0.0,23357588,protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf,2014-08-26 15:52:15,C++,,52120,13498,52120,974,4,protocolbuffers/protobuf,974.0,555315.0,30.0,781.0,9148.0,921.0,3954.0,4875.0,35.0,4548.0,4583.0,0.0,37.0,protocolbuffers/protobuf,2014-08-26 15:52:15,2782,199.6099928109274,0.3501078360891445,0.2807332854061826,0.01078360891445,3.2882818116462977,26.03333333333333,29.33239875389408,0
godotengine/godot,0,5,0,0,0,7,24,2,0,0.0,15634981,godotengine/godot,https://github.com/godotengine/godot,2014-01-04 16:05:36,C++,,44285,7999,44285,6803,5,godotengine/godot,1874.0,1276.0,30.0,347.0,41949.0,5932.0,26451.0,32383.0,1341.0,23744.0,25085.0,4.0,40.0,godotengine/godot,2014-01-04 16:05:36,3016,0.4230769230769231,0.6213527851458885,0.1150530503978779,0.009946949602122,13.908819628647215,11.566666666666666,25.485433244916003,0
tesseract-ocr/tesseract,12,9,0,0,0,12,40,0,4,0.0,22887094,tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract,2014-08-12 18:04:59,C++,,43004,7662,43004,343,6,tesseract-ocr/tesseract,200.0,0.0,2.0,0.0,5954.0,349.0,1933.0,2282.0,9.0,1440.0,1449.0,1.0,76.0,tesseract-ocr/tesseract,2014-08-12 18:04:59,2796,0.0,0.0715307582260372,0.0,0.0007153075822603,2.1294706723891275,0.0,2.1301859799713876,0
x64dbg/x64dbg,43,5,0,0,0,14,32,3,2,0.0,33791743,x64dbg/x64dbg,https://github.com/x64dbg/x64dbg,2015-04-11 20:48:23,C++,,37747,1728,37747,506,7,x64dbg/x64dbg,120.0,4403.0,3.0,5.0,4824.0,485.0,1619.0,2104.0,15.0,670.0,685.0,2.0,55.0,x64dbg/x64dbg,2015-04-11 20:48:23,2554,1.7239624119028971,0.0469851213782302,0.0019577133907595,0.0011746280344557,1.888801879404855,1.6666666666666667,3.556643174105978,0
grpc/grpc,12,1,0,0,0,13,19,0,10,0.0,27729880,grpc/grpc,https://github.com/grpc/grpc,2014-12-08 18:58:53,C++,,32601,8565,32601,972,9,grpc/grpc,883.0,11308.0,30.0,24.0,50586.0,816.0,9243.0,10059.0,252.0,18491.0,18743.0,0.0,74.0,grpc/grpc,2014-12-08 18:58:53,2678,4.222554144884242,0.3297236743838685,0.0089619118745332,0.0112023898431665,18.889469753547424,0.8,19.70067214339059,0
BVLC/caffe,7,3,0,0,0,6,15,0,0,0.0,12791642,BVLC/caffe,https://github.com/BVLC/caffe,2013-09-12 18:39:48,C++,,32119,18907,32119,1176,10,BVLC/caffe,328.0,0.0,2.0,0.0,4156.0,888.0,3882.0,4770.0,287.0,1936.0,2223.0,0.0,35.0,BVLC/caffe,2013-09-12 18:39:48,3130,0.0,0.1047923322683706,0.0,0.0006389776357827,1.3277955271565496,0.0,1.3284345047923323,0
ariya/phantomjs,11,0,0,0,0,2,12,0,1,0.0,1200050,ariya/phantomjs,https://github.com/ariya/phantomjs,2010-12-27 08:18:58,C++,,28628,5825,28628,14,11,ariya/phantomjs,180.0,0.0,2.0,0.0,1958.0,15.0,4721.0,4736.0,0.0,1051.0,1051.0,11.0,55.0,ariya/phantomjs,2010-12-27 08:18:58,4120,0.0,0.0436893203883495,0.0,0.0004854368932038,0.4752427184466019,0.0,0.47572815533980567,0
nlohmann/json,363,22,1,0,0,323,387,12,130,45.0,11171548,nlohmann/json,https://github.com/nlohmann/json,2013-07-04 08:47:49,C++,,27651,4715,27651,44,12,nlohmann/json,256.0,2431186.0,30.0,110.0,4326.0,29.0,1937.0,1966.0,21.0,703.0,724.0,5.0,565.0,nlohmann/json,2013-07-04 08:47:49,3200,759.745625,0.08,0.034375,0.009375,1.351875,3.6666666666666665,5.027916666666666,0
google/leveldb,25,1,0,0,0,3,8,0,2,6.0,23405758,google/leveldb,https://github.com/google/leveldb,2014-08-27 21:17:52,C++,,27179,6084,27179,241,13,google/leveldb,71.0,0.0,2.0,0.0,415.0,150.0,511.0,661.0,58.0,251.0,309.0,9.0,22.0,google/leveldb,2014-08-27 21:17:52,2781,0.0,0.0255303847536857,0.0,0.0007191657677094,0.1492268967997123,0.0,0.14994606256742168,1
rethinkdb/rethinkdb,37,3,0,0,0,12,33,1,0,0.0,6452529,rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb,2012-10-30 05:37:47,C++,,25132,1831,25132,1433,14,rethinkdb/rethinkdb,260.0,0.0,2.0,0.0,33438.0,1399.0,4950.0,6349.0,19.0,616.0,635.0,0.0,59.0,rethinkdb/rethinkdb,2012-10-30 05:37:47,3447,0.0,0.0754279083260806,0.0,0.0005802146794313,9.700609225413404,0.0,9.701189440092834,0
aria2/aria2,106,0,0,0,0,0,5,0,96,0.0,1116542,aria2/aria2,https://github.com/aria2/aria2,2010-11-27 09:41:48,C++,,24876,2842,24876,864,15,aria2/aria2,65.0,222578.0,23.0,174.0,5290.0,854.0,734.0,1588.0,40.0,248.0,288.0,0.0,57.0,aria2/aria2,2010-11-27 09:41:48,4150,53.63325301204819,0.0156626506024096,0.0419277108433734,0.0055421686746987,1.274698795180723,7.565217391304348,8.845458355159769,0
google/googletest,24,0,0,0,0,9,21,0,2,0.0,39840932,google/googletest,https://github.com/google/googletest,2015-07-28 15:07:53,C++,,24348,8071,24348,216,16,google/googletest,410.0,0.0,2.0,0.0,3858.0,180.0,1708.0,1888.0,32.0,1665.0,1697.0,2.0,92.0,google/googletest,2015-07-28 15:07:53,2446,0.0,0.1676206050695012,0.0,0.0008176614881439,1.5772690106295997,0.0,1.5780866721177436,0
microsoft/calculator,18,3,0,0,0,3,11,1,1,1.0,168008797,microsoft/calculator,https://github.com/microsoft/calculator,2019-01-28 17:55:49,C++,,23206,4194,23206,240,17,microsoft/calculator,96.0,0.0,2.0,0.0,721.0,247.0,617.0,864.0,9.0,909.0,918.0,2.0,20.0,microsoft/calculator,2019-01-28 17:55:49,1166,0.0,0.0823327615780446,0.0,0.0017152658662092,0.6183533447684391,0.0,0.6200686106346482,0
