Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
facebook/react,12,1,0,0,0,3,23,0,3,1.0,10270250,facebook/react,https://github.com/facebook/react,2013-05-24 16:15:54,JavaScript,,178604,36193,178604,901,1,facebook/react,1786.0,2259.0,30.0,98.0,14807.0,728.0,10463.0,11191.0,252.0,11638.0,11890.0,0.0,129.0,facebook/react,2013-05-24 16:15:54,3241,0.6970070965751312,0.5510644862696699,0.0302375809935205,0.0092564023449552,4.5686516507250845,3.2666666666666666,7.844574719736706,1
twbs/bootstrap,31,27,0,0,0,18,65,1,15,1.0,2126244,twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29 21:19:00,JavaScript,,154234,75451,154234,444,2,twbs/bootstrap,1531.0,12121231.0,30.0,49.0,21532.0,314.0,20790.0,21104.0,118.0,13129.0,13247.0,1.0,438.0,twbs/bootstrap,2011-07-29 21:19:00,3906,3103.233742959549,0.3919610855094726,0.0125448028673835,0.0076804915514592,5.512544802867383,1.6333333333333333,7.153558627752176,1
d3/d3,5,1,0,0,0,5,10,0,4,7.0,943149,d3/d3,https://github.com/d3/d3,2010-09-27 17:22:42,JavaScript,,99484,22896,99484,3,4,d3/d3,136.0,135818.0,30.0,20.0,4322.0,3.0,2100.0,2103.0,0.0,1103.0,1103.0,2.0,192.0,d3/d3,2010-09-27 17:22:42,4211,32.25314652101638,0.0322963666587508,0.0047494656851104,0.0071241985276656,1.0263595345523628,0.6666666666666666,1.7001503997466951,1
facebook/create-react-app,25,5,0,0,0,16,31,1,12,6.0,63537249,facebook/create-react-app,https://github.com/facebook/create-react-app,2016-07-17 14:55:11,JavaScript,,91797,23300,91797,1358,5,facebook/create-react-app,929.0,0.0,30.0,0.0,2753.0,1213.0,6344.0,7557.0,302.0,3577.0,3879.0,0.0,188.0,facebook/create-react-app,2016-07-17 14:55:11,2091,0.0,0.4442850310856049,0.0,0.0143472022955523,1.316594930655189,0.0,1.3309421329507412,1
axios/axios,35,12,0,0,0,14,35,0,89,38.0,23088740,axios/axios,https://github.com/axios/axios,2014-08-18 22:30:27,JavaScript,,89600,8963,89600,302,6,axios/axios,335.0,0.0,30.0,0.0,1095.0,225.0,3274.0,3499.0,85.0,895.0,980.0,13.0,205.0,axios/axios,2014-08-18 22:30:27,2790,0.0,0.1200716845878136,0.0,0.010752688172043,0.3924731182795699,0.0,0.4032258064516129,1
mui-org/material-ui,3,30,0,0,0,7,46,0,1,2.0,23083156,mui-org/material-ui,https://github.com/mui-org/material-ui,2014-08-18 19:11:54,JavaScript,,73433,25121,73433,854,7,mui-org/material-ui,2698.0,0.0,30.0,0.0,19183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,mui-org/material-ui,2014-08-18 19:11:54,2790,0.0,0.9670250896057347,0.0,0.010752688172043,6.875627240143369,0.0,6.886379928315412,1
FortAwesome/Font-Awesome,43,1,0,0,0,16,38,0,6,0.0,3470471,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,2012-02-17 14:19:43,JavaScript,,66820,11728,66820,5677,9,FortAwesome/Font-Awesome,2.0,71795.0,30.0,60.0,3.0,5652.0,12382.0,18034.0,26.0,604.0,630.0,0.0,2.0,FortAwesome/Font-Awesome,2012-02-17 14:19:43,3703,19.38833378341885,0.0005401026194977,0.0162030785849311,0.0081015392924655,0.0008101539292465,2.0,2.008911693221712,1
webpack/webpack,43,282,0,0,0,38,329,6,6,2.0,3678731,webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14,JavaScript,,59919,8110,59919,274,12,webpack/webpack,825.0,0.0,30.0,0.0,15010.0,177.0,8706.0,8883.0,107.0,5490.0,5597.0,1.0,260.0,webpack/webpack,2012-03-10 10:08:14,3681,0.0,0.2241238793806031,0.0,0.0081499592502037,4.077696278185276,0.0,4.08584623743548,1
typicode/json-server,58,1,0,2,0,15,34,0,40,43.0,14747598,typicode/json-server,https://github.com/typicode/json-server,2013-11-27 13:21:13,JavaScript,,58244,5613,58244,600,14,typicode/json-server,77.0,0.0,10.0,0.0,848.0,538.0,445.0,983.0,72.0,232.0,304.0,0.0,254.0,typicode/json-server,2013-11-27 13:21:13,3054,0.0,0.0252128356254093,0.0,0.0032743942370661,0.2776686313032089,0.0,0.280943025540275,1
hakimel/reveal.js,0,3,0,0,0,1,8,0,0,0.0,1861458,hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07 18:54:22,JavaScript,,57905,15864,57905,682,15,hakimel/reveal.js,333.0,0.0,30.0,0.0,2877.0,604.0,1491.0,2095.0,87.0,859.0,946.0,1.0,594.0,hakimel/reveal.js,2011-06-07 18:54:22,3958,0.0,0.0841334007074279,0.0,0.0075795856493178,0.7268822637695806,0.0,0.7344618494188985,1
jquery/jquery,34,2,0,0,0,4,19,1,42,31.0,167174,jquery/jquery,https://github.com/jquery/jquery,2009-04-03 15:20:14,JavaScript,,55635,20183,55635,82,16,jquery/jquery,359.0,0.0,2.0,0.0,6561.0,70.0,2094.0,2164.0,11.0,2710.0,2721.0,11.0,105.0,jquery/jquery,2009-04-03 15:20:14,4753,0.0,0.0755312434252051,0.0,0.0004207868714496,1.3803913317904482,0.0,1.3808121186618978,1
expressjs/express,13,1,0,0,0,9,20,0,5,9.0,237159,expressjs/express,https://github.com/expressjs/express,2009-06-26 18:56:01,JavaScript,,55146,9324,55146,165,17,expressjs/express,307.0,0.0,30.0,0.0,5688.0,110.0,3564.0,3674.0,46.0,1014.0,1060.0,6.0,254.0,expressjs/express,2009-06-26 18:56:01,4669,0.0,0.0657528378667808,0.0,0.0064253587491968,1.218248018847719,0.0,1.2246733775969156,1
adam-p/markdown-here,37,5,0,0,0,13,29,1,11,4.0,4311796,adam-p/markdown-here,https://github.com/adam-p/markdown-here,2012-05-13 03:27:22,JavaScript,,53761,10301,53761,304,18,adam-p/markdown-here,12.0,1518.0,11.0,6.0,807.0,282.0,307.0,589.0,27.0,48.0,75.0,1.0,120.0,adam-p/markdown-here,2012-05-13 03:27:22,3617,0.4196848216754216,0.0033176665745092,0.0016588332872546,0.0030411943599668,0.2231130771357478,0.5454545454545454,0.77160881695026,1
