Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
laravel/laravel,22,5,0,2,0,0,33,0,0,0.0,1863329,laravel/laravel,https://github.com/laravel/laravel,2011-06-08 03:06:08,PHP,,67531,21845,67531,31,0,laravel/laravel,743.0,0.0,30.0,0.0,6692.0,0.0,0.0,0.0,0.0,4092.0,4092.0,0.0,23.0,laravel/laravel,2011-06-08 03:06:08,3957,0.0,0.18776851149861,0.0,0.0075815011372251,1.691180187010361,0.0,1.6987616881475862,0
danielmiessler/SecLists,4,2,0,0,0,3,6,1,0,4.0,3482588,danielmiessler/SecLists,https://github.com/danielmiessler/SecLists,2012-02-19 01:30:18,PHP,,35360,18356,35360,24,1,danielmiessler/SecLists,226.0,0.0,15.0,0.0,1297.0,21.0,156.0,177.0,5.0,514.0,519.0,5.0,87.0,danielmiessler/SecLists,2012-02-19 01:30:18,3701,0.0,0.0610645771413131,0.0,0.0040529586598216,0.3504458254525804,0.0,0.354498784112402,1
fzaninotto/Faker,43,4,0,0,0,34,39,1,166,112.0,2579314,fzaninotto/Faker,https://github.com/fzaninotto/Faker,2011-10-14 22:49:02,PHP,,26235,3232,26235,246,3,fzaninotto/Faker,529.0,0.0,12.0,0.0,2632.0,76.0,494.0,570.0,167.0,1319.0,1486.0,1.0,368.0,fzaninotto/Faker,2011-10-14 22:49:02,3829,0.0,0.1381561765474014,0.0,0.0031339775398276,0.6873857404021938,0.0,0.6905197179420214,0
symfony/symfony,10,0,0,0,0,0,1,0,0,0.0,458058,symfony/symfony,https://github.com/symfony/symfony,2010-01-04 14:21:21,PHP,,26145,8428,26145,735,4,symfony/symfony,3416.0,0.0,30.0,0.0,59755.0,529.0,16601.0,17130.0,210.0,27108.0,27318.0,2.0,51.0,symfony/symfony,2010-01-04 14:21:21,4477,0.0,0.7630109448291267,0.0,0.0067009157918248,13.347107438016527,0.0,13.353808353808352,0
composer/composer,3,1,0,0,0,5,12,1,0,0.0,1864363,composer/composer,https://github.com/composer/composer,2011-06-08 08:53:00,PHP,,25921,6199,25921,176,5,composer/composer,1124.0,461010.0,30.0,56.0,11380.0,167.0,6787.0,6954.0,20.0,3379.0,3399.0,7.0,69.0,composer/composer,2011-06-08 08:53:00,3957,116.5049279757392,0.2840535759413697,0.0141521354561536,0.0075815011372251,2.875916098054081,1.8666666666666667,4.750164265857973,0
laravel/framework,6,5,0,2,0,3,17,0,0,0.0,7548986,laravel/framework,https://github.com/laravel/framework,2013-01-10 21:27:28,PHP,,25561,8702,25561,10,6,laravel/framework,3382.0,0.0,30.0,0.0,33231.0,5.0,15793.0,15798.0,7.0,23038.0,23045.0,0.0,18.0,laravel/framework,2013-01-10 21:27:28,3375,0.0,1.002074074074074,0.0,0.0088888888888888,9.846222222222222,0.0,9.85511111111111,0
guzzle/guzzle,10,4,0,0,0,3,10,0,5,2.0,1420053,guzzle/guzzle,https://github.com/guzzle/guzzle,2011-02-28 02:44:05,PHP,,21347,2244,21347,34,7,guzzle/guzzle,413.0,4022.0,30.0,34.0,3595.0,23.0,1712.0,1735.0,15.0,1227.0,1242.0,5.0,105.0,guzzle/guzzle,2011-02-28 02:44:05,4057,0.9913729356667488,0.1017993591323638,0.0083805767808725,0.0073946265713581,0.8861227508010845,1.1333333333333333,2.026850710705776,0
Seldaek/monolog,22,3,0,0,0,16,26,2,1,2.0,1376664,Seldaek/monolog,https://github.com/Seldaek/monolog,2011-02-17 02:07:15,PHP,,19317,1789,19317,36,9,Seldaek/monolog,488.0,0.0,30.0,0.0,2536.0,27.0,674.0,701.0,15.0,919.0,934.0,1.0,30.0,Seldaek/monolog,2011-02-17 02:07:15,4068,0.0,0.119960668633235,0.0,0.0073746312684365,0.6234021632251721,0.0,0.6307767944936086,0
nextcloud/server,22,4,0,0,0,3,26,0,7,7.0,60243197,nextcloud/server,https://github.com/nextcloud/server,2016-06-02 07:44:14,PHP,,17576,2845,17576,1830,12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0,nextcloud/server,2016-06-02 07:44:14,2136,0.7799625468164794,0.5126404494382022,0.0337078651685393,0.0140449438202247,28.908239700374533,2.4,31.322284644194756,0
PHPMailer/PHPMailer,29,9,0,0,0,25,38,3,13,6.0,2253830,PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer,2011-08-23 07:57:17,PHP,,17434,9040,17434,35,13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0,PHPMailer/PHPMailer,2011-08-23 07:57:17,3881,0.0,0.0641587219788714,0.0,0.0077299665034784,0.5377480030919866,0.0,0.5454779695954649,0
matomo-org/matomo,16,6,0,0,0,0,20,0,0,0.0,1548202,matomo-org/matomo,https://github.com/matomo-org/matomo,2011-03-30 21:18:17,PHP,,15676,2224,15676,1882,15,matomo-org/matomo,379.0,6.0,30.0,16.0,28254.0,1892.0,10215.0,12107.0,27.0,6056.0,6083.0,9.0,120.0,matomo-org/matomo,2011-03-30 21:18:17,4027,0.0014899428855227,0.0941147256021852,0.0039731810280605,0.0074497144276136,7.016141047926496,0.5333333333333333,7.556924095687442,0
briannesbitt/Carbon,0,14,0,0,0,2,23,1,2,5.0,5724990,briannesbitt/Carbon,https://github.com/briannesbitt/Carbon,2012-09-08 02:56:20,PHP,,15547,1191,15547,6,16,briannesbitt/Carbon,301.0,1434.0,30.0,30.0,3156.0,9.0,1098.0,1107.0,3.0,1441.0,1444.0,0.0,91.0,briannesbitt/Carbon,2012-09-08 02:56:20,3499,0.4098313803943984,0.086024578450986,0.0085738782509288,0.0085738782509288,0.9019719919977136,1.0,1.9105458702486424,0
monicahq/monica,102,7,0,0,0,10,22,1,0,0.0,82238168,monicahq/monica,https://github.com/monicahq/monica,2017-02-17 00:02:58,PHP,,15461,1584,15461,494,17,monicahq/monica,260.0,503.0,30.0,169.0,3604.0,498.0,1223.0,1721.0,4.0,4271.0,4275.0,0.0,9.0,monicahq/monica,2017-02-17 00:02:58,1876,0.2681236673773987,0.138592750533049,0.0900852878464818,0.0159914712153518,1.9211087420042643,5.633333333333334,7.57043354655295,0
nikic/PHP-Parser,47,1,0,0,0,0,2,0,2,6.0,1631570,nikic/PHP-Parser,https://github.com/nikic/PHP-Parser,2011-04-18 17:03:47,PHP,,15069,847,15069,77,18,nikic/PHP-Parser,129.0,0.0,30.0,0.0,1395.0,67.0,442.0,509.0,13.0,303.0,316.0,0.0,71.0,nikic/PHP-Parser,2011-04-18 17:03:47,4008,0.0,0.0321856287425149,0.0,0.0074850299401197,0.3480538922155688,0.0,0.3555389221556885,1
easychen/howto-make-more-money,9,4,0,0,0,1,5,0,0,0.0,53783664,easychen/howto-make-more-money,https://github.com/easychen/howto-make-more-money,2016-03-13 12:22:03,PHP,,14869,1572,14869,5,19,easychen/howto-make-more-money,13.0,0.0,3.0,0.0,69.0,3.0,22.0,25.0,1.0,15.0,16.0,0.0,37.0,easychen/howto-make-more-money,2016-03-13 12:22:03,2217,0.0,0.0058637798827244,0.0,0.0013531799729364,0.0311231393775372,0.0,0.0324763193504736,1
erusev/parsedown,7,5,0,1,0,4,15,0,3,4.0,11323319,erusev/parsedown,https://github.com/erusev/parsedown,2013-07-10 20:23:25,PHP,,13943,1043,13943,124,20,erusev/parsedown,43.0,0.0,25.0,0.0,843.0,81.0,458.0,539.0,47.0,232.0,279.0,3.0,166.0,erusev/parsedown,2013-07-10 20:23:25,3194,0.0,0.0134627426424546,0.0,0.0078271759549154,0.2639323731997495,0.0,0.2717595491546649,1
yiisoft/yii2,15,8,0,0,0,4,24,0,0,2.0,3431193,yiisoft/yii2,https://github.com/yiisoft/yii2,2012-02-13 15:32:36,PHP,,13853,6973,13853,507,21,yiisoft/yii2,1356.0,94532.0,30.0,54.0,19960.0,445.0,10731.0,11176.0,71.0,7612.0,7683.0,8.0,58.0,yiisoft/yii2,2012-02-13 15:32:36,3707,25.50094415969787,0.3657944429457782,0.0145670353385486,0.0080927974103048,5.38440787698948,1.8,7.192500674399784,0
barryvdh/laravel-debugbar,17,5,0,0,0,1,8,0,9,17.0,12615154,barryvdh/laravel-debugbar,https://github.com/barryvdh/laravel-debugbar,2013-09-05 10:26:54,PHP,,13443,1312,13443,50,22,barryvdh/laravel-debugbar,179.0,0.0,30.0,0.0,929.0,44.0,862.0,906.0,25.0,364.0,389.0,3.0,79.0,barryvdh/laravel-debugbar,2013-09-05 10:26:54,3137,0.0,0.0570608861970035,0.0,0.0095632770162575,0.2961428116034428,0.0,0.3057060886197003,1
getgrav/grav,30,6,0,0,0,5,36,0,11,7.0,22553797,getgrav/grav,https://github.com/getgrav/grav,2014-08-02 18:29:10,PHP,,13053,1325,13053,337,23,getgrav/grav,231.0,63746.0,30.0,90.0,7314.0,322.0,2484.0,2806.0,24.0,624.0,648.0,2.0,66.0,getgrav/grav,2014-08-02 18:29:10,2806,22.717747683535283,0.0823235923022095,0.0320741268709907,0.0106913756236635,2.6065573770491803,3.0,5.617248752672843,0
koel/koel,2,64,0,0,0,6,71,1,5,4.0,47495360,koel/koel,https://github.com/koel/koel,2015-12-06 12:13:19,PHP,,13048,1666,13048,80,24,koel/koel,62.0,2802.0,30.0,26.0,2036.0,75.0,742.0,817.0,11.0,578.0,589.0,0.0,38.0,koel/koel,2015-12-06 12:13:19,2315,1.21036717062635,0.0267818574514038,0.011231101511879,0.0129589632829373,0.8794816414686825,0.8666666666666667,1.7591072714182865,0
CachetHQ/Cachet,18,17,0,0,0,3,28,0,2,0.0,26730195,CachetHQ/Cachet,https://github.com/CachetHQ/Cachet,2014-11-16 22:23:11,PHP,,12455,1478,12455,347,26,CachetHQ/Cachet,223.0,0.0,30.0,0.0,7274.0,276.0,2008.0,2284.0,74.0,1921.0,1995.0,4.0,147.0,CachetHQ/Cachet,2014-11-16 22:23:11,2700,0.0,0.0825925925925925,0.0,0.0111111111111111,2.694074074074074,0.0,2.705185185185185,0
thephpleague/flysystem,10,7,0,0,0,6,18,0,0,0.0,13899674,thephpleague/flysystem,https://github.com/thephpleague/flysystem,2013-10-27 11:07:22,PHP,,12213,681,12213,29,29,thephpleague/flysystem,48.0,0.0,15.0,0.0,648.0,20.0,705.0,725.0,6.0,689.0,695.0,0.0,14.0,thephpleague/flysystem,2013-10-27 11:07:22,3085,0.0,0.0155591572123176,0.0,0.0048622366288492,0.2100486223662885,0.0,0.21491085899513768,1
flarum/flarum,3,6,0,0,0,3,10,0,0,0.0,28628034,flarum/flarum,https://github.com/flarum/flarum,2014-12-30 11:13:08,PHP,,12145,1339,12145,0,30,flarum/flarum,33.0,0.0,17.0,0.0,337.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,9.0,flarum/flarum,2014-12-30 11:13:08,2656,0.0,0.0124246987951807,0.0,0.0064006024096385,0.1268825301204819,0.0,0.1332831325301204,1
