spearman-coeffiecient,p-value,Feature1,Feature2
0.09909136966032005,0.2878056575565828,List,Image
0.042374363919967,0.6500940451130717,List,Animation
0.16491921111848232,0.07558314651167038,List,Video
nan,nan,List,Table
0.37147633574519195,3.730855424312112e-05,List,Github
0.49158975870988697,1.8207070799206596e-08,List,Links
0.17848338025778654,0.05418501678379424,List,Project
0.4462885932122433,4.577778526123189e-07,List,Inline
0.23721704965208762,0.01001782593930097,List,Code
0.09909136966032005,0.2878056575565828,Image,List
0.18680160895725584,0.04373077656747511,Image,Animation
-0.0004725305100924715,0.9959656562133131,Image,Video
nan,nan,Image,Table
0.27516285081418057,0.0026770988515631765,Image,Github
0.5967203465309998,1.2485993199424386e-12,Image,Links
0.31813102489511813,0.00047328749746996347,Image,Project
0.024237708254583403,0.7953311266598357,Image,Inline
0.12651862942065373,0.17405661196297376,Image,Code
0.042374363919967,0.6500940451130717,Animation,List
0.1868016089572558,0.043730776567475135,Animation,Image
-0.03770127673217121,0.6865313248504883,Animation,Video
nan,nan,Animation,Table
0.12963935648522557,0.16359114061440153,Animation,Github
0.12632635784256954,0.17471717734948458,Animation,Links
0.24022035611697695,0.009086042543614893,Animation,Project
-0.07446688563740168,0.4249035196322093,Animation,Inline
-0.043073026051072015,0.644714055238276,Animation,Code
0.16491921111848232,0.07558314651167038,Video,List
-0.00047253051009247155,0.9959656562133131,Video,Image
-0.03770127673217122,0.6865313248504883,Video,Animation
nan,nan,Video,Table
0.011676739668828682,0.900562003065408,Video,Github
0.17183727489940173,0.06394642867001998,Video,Links
0.028668509939709517,0.758971995245216,Video,Project
-0.006834645046765647,0.9416986114421914,Video,Inline
-0.06614162134164799,0.4786186197487411,Video,Code
nan,nan,Table,List
nan,nan,Table,Image
nan,nan,Table,Animation
nan,nan,Table,Video
nan,nan,Table,Github
nan,nan,Table,Links
nan,nan,Table,Project
nan,nan,Table,Inline
nan,nan,Table,Code
0.37147633574519195,3.730855424312112e-05,Github,List
0.27516285081418057,0.0026770988515631765,Github,Image
0.12963935648522557,0.16359114061440153,Github,Animation
0.01167673966882868,0.900562003065408,Github,Video
nan,nan,Github,Table
0.7507211476092372,1.9352097102020121e-22,Github,Links
0.37627703381344657,2.9011706470245606e-05,Github,Project
0.058184229009978355,0.5331992946718114,Github,Inline
-0.039782645878579256,0.6702072184416084,Github,Code
0.491589758709887,1.8207070799206596e-08,Links,List
0.5967203465309998,1.2485993199424386e-12,Links,Image
0.12632635784256957,0.17471717734948453,Links,Animation
0.17183727489940173,0.06394642867001998,Links,Video
nan,nan,Links,Table
0.7507211476092372,1.9352097102020121e-22,Links,Github
0.3715068123510549,3.7249493143316495e-05,Links,Project
0.12168379234586928,0.19123234388708987,Links,Inline
0.12329836664143295,0.18536485308914288,Links,Code
0.17848338025778657,0.05418501678379419,Project,List
0.31813102489511813,0.00047328749746996347,Project,Image
0.24022035611697695,0.009086042543614893,Project,Animation
0.028668509939709517,0.758971995245216,Project,Video
nan,nan,Project,Table
0.37627703381344657,2.9011706470245606e-05,Project,Github
0.3715068123510549,3.7249493143316495e-05,Project,Links
0.06694606443177094,0.47327367094255124,Project,Inline
0.09376722275450812,0.31461980574074505,Project,Code
0.44628859321224335,4.577778526123189e-07,Inline,List
0.024237708254583403,0.7953311266598357,Inline,Image
-0.07446688563740168,0.4249035196322093,Inline,Animation
-0.006834645046765648,0.9416986114421914,Inline,Video
nan,nan,Inline,Table
0.058184229009978355,0.5331992946718114,Inline,Github
0.12168379234586928,0.19123234388708987,Inline,Links
0.06694606443177095,0.473273670942551,Inline,Project
0.7049608352984251,7.25205048164412e-19,Inline,Code
0.23721704965208762,0.01001782593930097,Code,List
0.12651862942065373,0.17405661196297376,Code,Image
-0.04307302605107202,0.644714055238276,Code,Animation
-0.06614162134164799,0.4786186197487411,Code,Video
nan,nan,Code,Table
-0.039782645878579256,0.6702072184416084,Code,Github
0.12329836664143294,0.1853648530891429,Code,Links
0.09376722275450813,0.314619805740745,Code,Project
0.7049608352984251,7.25205048164412e-19,Code,Inline
