,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.83,0.85,0.81,0.63,0.79,0.93,0.69,0.8,0.63,0.73
Video,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.02
Table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project,0.0,0.01,0.01,-0.01,0.0,0.0,0.05,-0.0,-0.01,-0.01
Code,0.0,0.0,-0.02,0.01,0.0,0.0,,0.01,-0.0,0.13
Animation,0.01,0.0,0.0,0.0,0.03,0.0,-0.01,0.0,0.0,0.0
Inline,0.01,0.0,-0.02,0.0,0.0,,0.02,-0.0,-0.01,-0.03
Github,0.03,,,-0.02,0.01,,0.08,0.09,-0.0,0.07
Image,0.03,,,-0.02,0.0,,0.12,-0.01,-0.01,0.03
List,0.04,0.01,-0.01,0.01,-0.01,0.0,0.0,0.01,0.05,0.02
Links,,0.27,0.25,,,0.0,,,,
