,C,CPP,CSharp,Go,Java,Javascript,PHP,Python,Ruby,Typescript
Accuracy,0.83,0.85,0.81,0.63,0.79,0.93,0.69,0.8,0.63,0.73
Image,0.32,,,0.12,0.15,,0.19,0.23,0.3,0.13
Inline,0.23,0.16,0.1,0.06,0.05,,0.16,0.09,0.09,0.09
Github,0.17,,,0.39,0.35,,0.34,0.41,0.35,0.23
List,0.15,0.2,0.24,0.16,0.1,0.23,0.12,0.17,0.15,0.09
Code,0.06,0.08,0.06,0.1,0.14,0.16,,0.04,0.08,0.33
Animation,0.04,0.02,0.03,0.02,0.15,0.04,0.04,0.02,0.01,0.02
Video,0.02,0.04,0.03,0.06,0.02,0.04,0.04,0.02,0.0,0.06
Project,0.01,0.09,0.15,0.09,0.04,0.11,0.11,0.02,0.02,0.04
Table,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Links,,0.41,0.39,,,0.42,,,,
